oewn_id	primary_lemma	gloss	assigned_class	judgement	proposed_alternative	rationale	batch
oewn-04859981-n	nefariousness	the quality of being wicked	dul:Quality	agree		A moral/evaluative quality.	04
oewn-03053005-a	anaesthetic	relating to or producing insensibility	dul:Quality	agree		Pertainym adjective; defaults to Quality per guidelines.	04
oewn-04143416-n	sarong	a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific	dul:PhysicalObject	agree		A garment is a physical object.	04
oewn-10753007-n	turner	one of two persons who swing ropes for jumpers to skip over in the game of jump rope	dul:Person	agree		A human individual is a Person.	04
oewn-14355744-n	stitch	a sharp spasm of pain in the side resulting from running	dul:Situation	disagree	dul:State	A spasm of pain is a bodily state/condition, not complex multi-entity situation.	04
oewn-00960855-v	perseverate	repeat a response after the cessation of the original stimulus	dul:Action	agree		Repeating a response is an agentive mental action.	04
oewn-01875925-s	lay	not of or from a profession	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02714741-a	coreferential	relating to coreference	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-07244001-n	bow	an appearance by actors or performers at the end of the concert or play in order to acknowledge the applause of the audience	ontopic:Topic	agree		Gloss supports the assigned class.	05
oewn-92447444-n	belittlement	the act of making a person or a thing seem little or unimportant.	dul:Action	agree		Gloss supports the assigned class.	05
oewn-00660578-s	blockish	resembling a block in shape	dul:PhysicalAttribute	agree		Gloss supports the assigned class.	05
oewn-02174748-v	listen in	listen quietly, without contributing to the conversation	dul:Action	agree		Gloss supports the assigned class.	05
oewn-02681081-v	emulate	imitate the function of (another system), as by modifying the hardware or the software	dul:State	debatable	dul:Action	Emulating/imitating is an intentional agentive action, not a stative condition.	05
oewn-00403446-v	complicate	make more complicated	dul:Action	agree		Gloss supports the assigned class.	05
oewn-04932754-n	obsoleteness	the property of being out of date and not current	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02267560-v	present	hand over formally	dul:Action	agree		Gloss supports the assigned class.	05
oewn-81787827-n	first basewoman	(baseball) a woman who plays first base	dul:Person	agree		Gloss supports the assigned class.	05
oewn-01643372-s	antediluvian	so extremely old as seeming to belong to an earlier period	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-00911705-a	euphemistic	of or the nature of euphemism	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-10254839-n	kingpin	the most important person in a group or undertaking	dul:Person	agree		Gloss supports the assigned class.	05
oewn-12664449-n	amarelle	any of several cultivated sour cherry trees bearing pale red fruit with colorless juice	dul:Organism	agree		Gloss supports the assigned class.	05
oewn-14115007-n	Friedreich's ataxia	sclerosis of the posterior and lateral columns of the spinal cord; characterized by muscular weakness and abnormal gait; occurs in children	dul:Situation	disagree	dul:State	A medical condition is a state of an entity, not a complex situation of multiple entities.	05
oewn-00509856-r	measuredly	in a deliberate unhurried manner	dul:Region	agree		Gloss supports the assigned class.	05
oewn-07773108-n	cherry	a red fruit with a single hard stone	dul:BiologicalObject	debatable	dul:Substance	Fruit is biological matter; BiologicalObject emphasizes the biological entity, Substance the edible matter. Both defensible.	05
oewn-01510340-s	thawed	no longer frozen solid	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02179812-s	cleft	having one or more indentations reaching nearly to the midrib	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-01606806-v	lance	open by piercing with a lancet	dul:Action	agree		Gloss supports the assigned class.	05
oewn-07384725-n	entrance	a movement into or inward	dul:Event	agree		Gloss supports the assigned class.	05
oewn-13730246-n	Western Samoan monetary unit	monetary unit in Western Samoa	dul:Amount	agree		Gloss supports the assigned class.	05
oewn-02094323-s	open	not sealed or having been unsealed	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-06544086-n	act	a legal document codifying the result of deliberations of a committee or society or legislative body	dul:InformationRealization	agree		Gloss supports the assigned class.	05
oewn-03507653-n	headdress	clothing for the head	dul:PhysicalObject	debatable	dul:DesignedArtifact	Human-made object for a purpose fits DesignedArtifact better than generic PhysicalObject.	05
oewn-00694299-s	deep-water	of or carried on in waters of great depth	dul:PhysicalAttribute	agree		Gloss supports the assigned class.	05
oewn-11965220-n	welted thistle	European biennial introduced in North America having flower heads in crowded clusters at ends of branches	dul:Organism	agree		Gloss supports the assigned class.	05
oewn-04510146-n	twenty-two	a .22 caliber firearm (pistol or rifle)	dul:DesignedArtifact	agree		Gloss supports the assigned class.	05
oewn-00501486-s	Oscan-speaking	able to communicate in Oscan	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02736753-a	femoral	of or relating to or near the femur or thigh	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02855054-n	blind curve	a curve or bend in the road that you cannot see around as you are driving	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	debatable	dul:Place	A curve is a spatial location; Place or SpaceRegion more appropriate than DependentPart.	05
oewn-01182121-s	windburned	suffering from windburn	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-02670109-a	basidiomycetous	pertaining to or characteristic of fungi of the class Basidiomycetes	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-11533612-n	Doppler effect	change in the apparent frequency of a wave as observer and source move toward or away from each other	dul:Event	agree		Gloss supports the assigned class.	05
oewn-01170419-s	organic	simple and healthful and close to nature	dul:Quality	agree		Gloss supports the assigned class.	05
oewn-10052249-n	drawer	the person who writes a check or draft instructing the drawee to pay someone else	dul:Person	agree		Gloss supports the assigned class.	05
oewn-10308999-n	management consultant	adviser to business about efficient management practices	dul:Person	agree		Gloss supports the assigned class.	05
oewn-00282463-v	blackwash	color with blackwash	dul:Action	agree		Gloss supports the assigned class.	05
oewn-03326364-n	fanjet	an airplane propelled by a fanjet engine	dul:DesignedArtifact	agree		Gloss supports the assigned class.	05
oewn-02750182-n	ashcan	a bin that holds rubbish until it is collected	dul:DesignedArtifact	agree		Gloss supports the assigned class.	05
oewn-00102859-n	double stopping	stopping two strings and producing two notes at the same time	dul:Action	debatable	dul:Event	Double stopping is a musical technique/method; could be Action (intentional) or Event (occurrence).	05
oewn-07662187-n	duck	flesh of a duck (domestic or wild)	dul:FunctionalSubstance	agree		Gloss supports the assigned class.	05
oewn-13559517-n	plastination	a process involving fixation and dehydration and forced impregnation and hardening of biological tissues; water and lipids are replaced by curable polymers (silicone or epoxy or polyester) that are su	dul:Process	agree		Gloss supports the assigned class.	05
oewn-12047691-n	salsify	Mediterranean biennial herb with long-stemmed heads of purple ray flowers and milky sap and long edible root; naturalized throughout United States	dul:Organism	agree		Gloss supports the assigned class.	05
oewn-13830617-n	antonymy	the semantic relation that holds between two words that can (in a given context) express opposite meanings	dul:Relation	agree		Gloss supports the assigned class.	05
oewn-02004789-v	marshal	lead ceremoniously, as in a procession	dul:Action	agree		Gloss supports the assigned class.	05
oewn-11936936-n	achillea	any of several plants of the genus Achillea native to Europe and having small white flowers in flat-topped flower heads	dul:Organism	agree		Gloss supports the assigned class.	05
oewn-82008392-n	alderwoman	a female member of a municipal legislative body (as a city council)	dul:Person	agree		Gloss supports the assigned class.	05
oewn-11676425-n	westland pine	timber tree of New Zealand having shiny white wood	dul:Organism	agree		Gloss supports the assigned class.	05
oewn-09775968-n	abolitionist	a reformer who favors abolishing slavery	dul:Person	agree		A person with a role/characteristic. dul:Person is correct.	06
oewn-02534026-s	compromising	vulnerable to danger especially of discredit or suspicion	dul:Quality	agree		Describes an attribute/quality of being vulnerable.	06
oewn-00428752-a	nonradioactive	not radioactive	dul:Quality	agree		Negation of radioactivity, a physical quality.	06
oewn-00111759-r	militarily	with respect to the military	dul:Region	agree		Adverb of manner/respect fits dul:Region as degree/manner position.	06
oewn-00595853-n	magistracy	the position of magistrate	dul:Action	disagree	dul:Role	Describes a position/office held, not an intentional action. Should be dul:Role.	06
oewn-02692820-n	air-intake	a duct that admits air to be mixed with fuel	dul:PhysicalPlace	disagree	dul:DesignedArtifact	A physical engineered conduit/component, not an abstract place. dul:DesignedArtifact is more precise.	06
oewn-03258101-n	duct	an enclosed conduit for a fluid	dul:PhysicalPlace	disagree	dul:DesignedArtifact	A physical pipe/tube (designed artifact), not the conceptual place itself.	06
oewn-10534022-n	referee	(sports) the chief official (as in boxing or American football) who is expected to ensure fair play	dul:Person	agree		A person performing a role. dul:Person is correct.	06
oewn-06838913-n	bicameral script	a script having two distinct cases	dul:InformationRealization	agree		A writing system (physical manifestation of information). Correct as InformationRealization.	06
oewn-07717342-n	couscous	a pasta made in northern Africa of crushed and steamed semolina	dul:FunctionalSubstance	agree		A food substance made for consumption. FunctionalSubstance is appropriate.	06
oewn-00417927-n	unwritten law	law based on customary behavior	dul:Method	agree		Describes a customary system/procedure. dul:Method (procedure/way) is appropriate.	06
oewn-09279178-n	coprolite	fossil excrement; petrified dung	dul:FunctionalSubstance	disagree	dul:PhysicalObject	A fossilized specimen, not a substance with functional purpose. Should be dul:PhysicalObject.	06
oewn-02279401-n	white admiral	Eurasian butterfly with brown wings and white markings	dul:Organism	agree		A living creature (insect species). dul:Organism is correct.	06
oewn-07331203-n	plague	any large scale calamity (especially when thought to be sent by God)	dul:EventType	agree		Describes a type/kind of disaster event. dul:EventType is correct.	06
oewn-14989310-n	cellulose acetate	an ester of acetic acid; used in fibers and fabrics; photographic films and varnishes	dul:ChemicalObject	agree		A chemical compound/ester. dul:ChemicalObject is correct.	06
oewn-00779033-v	hex	cast a spell over someone or something; put a hex on someone or something	dul:Action	agree		An intentional act performed by an agent. dul:Action is correct.	06
oewn-09915013-n	caregiver	a person who is responsible for attending to the needs of a child or dependent adult	dul:Person	agree		A human in a caregiving role. dul:Person is correct.	06
oewn-09246394-n	bladder stone	a calculus formed in the bladder	dul:PhysicalBody	disagree	dul:PhysicalObject	A stone/calculus is a physical object, not a body. Bodies are living organized systems.	06
oewn-13894356-n	diameter	a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)	dul:SpaceRegion	agree		A geometric/spatial region/measurement. dul:SpaceRegion is correct.	06
oewn-00931247-n	object-oriented programming	creating a program that can use and support objects	dul:Action	agree		Programming is an intentional human activity. dul:Action fits as the activity itself.	06
oewn-07325733-n	change of location	a movement through space that changes the location of something	dul:Event	agree		A dynamic change/movement. dul:Event is correct.	06
oewn-07320525-n	hell	a cause of difficulty and suffering	dul:EventType	debatable	dul:Situation	Could be EventType (type of negative event) or Situation (complex state of affairs). Both defensible.	06
oewn-04979195-n	brown	an orange of low brightness and saturation	dul:Quality	agree		A color/quality. dul:Quality is correct.	06
oewn-15092849-n	telomerase	an enzyme in eukaryotic cells that can add telomeres to the ends of chromosomes after they divide	dul:ChemicalObject	agree		An enzyme (protein molecule). dul:ChemicalObject is correct.	06
oewn-09918344-n	case	a person requiring professional services	dul:Person	agree		A person in a specific context. dul:Person is correct.	06
oewn-01258711-n	yodeling	singing by changing back and forth between the chest voice and a falsetto	dul:Action	agree		A vocal performance/activity. dul:Action is correct.	06
oewn-02902184-a	mechanical	relating to or governed by or in accordance with mechanics	dul:Quality	agree		A pertainym adjective; stays dul:Quality per design decision for relational adjectives.	06
oewn-06567838-n	writ of election	a writ ordering the holding of an election	dul:InformationRealization	agree		A legal document (physical realization of information/command). dul:InformationRealization is correct.	06
oewn-02618797-a	agranulocytic	relating to the blood disorder of agranulocytosis	dul:Quality	agree		A pertainym adjective. dul:Quality per design decision for relational adjectives.	06
oewn-13880801-n	reverse	a relation of direct opposition	dul:Relation	agree		Explicitly a relation. dul:Relation is correct.	06
oewn-06526084-n	history	a record or narrative description of past events	dul:InformationRealization	debatable	dul:InformationObject	Could be InformationRealization (written record) or InformationObject (narrative content). Gloss emphasizes the written/recorded form, so current choice is defensible.	06
oewn-10812496-n	wrecker	someone who demolishes or dismantles buildings as a job	dul:Person	agree		A person with an occupation/role. dul:Person is correct.	06
oewn-13763838-n	decimal digit	a digit from 0 to 9 in decimal notation	dul:Amount	agree		A unit in a numbering system. dul:Amount (quantity) is appropriate.	06
oewn-13707070-n	lempira	the basic unit of money in Honduras; equal to 100 centavos	dul:Amount	agree		A monetary unit/quantity. dul:Amount is correct.	06
oewn-12373361-n	Japanese banana	Asiatic banana plant cultivated especially as a foliage plant in Japan	dul:Organism	agree		A living plant species. dul:Organism is correct.	06
oewn-07941074-n	orange juice	bottled or freshly squeezed juice of oranges	dul:FunctionalSubstance	agree		A consumable substance. FunctionalSubstance is appropriate.	06
oewn-02995666-n	cello	a large stringed instrument; seated player holds it upright while playing	dul:DesignedArtifact	agree		A musical instrument designed for a purpose. dul:DesignedArtifact is correct.	06
oewn-11855123-n	saltwort	bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash	dul:Organism	agree		A plant species (living organism). dul:Organism is correct.	06
oewn-08494175-n	unconfessed	people who have not confessed	coll:AgentCollection	agree		A group of people. coll:AgentCollection is correct.	06
oewn-14524403-n	rummage	a jumble of things to be given away	dul:Situation	agree		A complex assemblage of items. dul:Situation fits well.	06
oewn-13946252-n	conditions	the prevailing context that influences the performance or the outcome of a process	dul:Situation	agree		A complex contextual state of affairs. dul:Situation is correct.	06
oewn-00894463-s	even	equal in degree or extent or amount; or equally matched or balanced	dul:Quality	agree		A quality/property of being equal/balanced. dul:Quality is correct.	06
oewn-02480870-n	rudapithecus	fossil hominoids from northern central Hungary; late Miocene	dul:Organism	debatable	dul:BiologicalObject	Could be Organism (living species conceptually) or BiologicalObject (since it's extinct/fossil). Organism is acceptable.	06
oewn-08138092-n	fire department	the department of local government responsible for preventing and extinguishing fires	dul:Organization	agree		An institutional/organizational entity. dul:Organization is correct.	06
oewn-02744251-a	gastroesophageal	of or relating to or involving the stomach and esophagus	dul:Quality	agree		A pertainym adjective. dul:Quality per design decision.	06
oewn-14061298-n	cybersex	sexual arousal involving communication on the internet	dul:Situation	agree		A complex interactive situation. dul:Situation is appropriate.	06
oewn-02650706-v	override	prevail over	dul:Action	agree		An intentional action/performance. dul:Action is correct.	06
oewn-09742978-n	Moroccan	a native or inhabitant of Morocco	dul:Person	agree		A person (national demonym). dul:Person is correct.	06
oewn-13632230-n	circular measure	measurement of angles in radians	dul:Amount	agree		A measurement unit/system. dul:Amount is appropriate.	06
oewn-03135689-n	crest	(heraldry) in medieval times, an emblem used to decorate a helmet	dul:DesignedArtifact	agree		A designed decorative object/emblem. dul:DesignedArtifact is correct.	06
oewn-02191314-v	splash	make a splashing sound	dul:Action	agree		Making a splashing sound is an agentive action performed by an agent.	07
oewn-02540759-v	chase	pursue someone sexually or romantically	dul:Action	agree		Pursuing someone is an intentional agentive action.	07
oewn-13343780-n	mintage	fee paid to a mint by the government for minting a coin	dul:Right	disagree	dul:Amount	A fee is a quantity of money, not a Right (which denotes privilege/entitlement).	07
oewn-13794160-n	dollop	a small measure (usually of food)	dul:Amount	agree		Explicitly a measure/quantity.	07
oewn-01048429-s	free-and-easy	natural and unstudied	dul:Quality	agree		Adjective describing manner/character; Quality is appropriate.	07
oewn-04803974-n	unexpectedness	extraordinariness by virtue of being unexpected	dul:Quality	agree		Unexpectedness is a quality/property of entities or events.	07
oewn-10109548-n	finalist	a contestant who reaches the final stages of a competition	dul:Person	agree		A finalist is a person/competitor in a competition.	07
oewn-01146273-n	redeployment	the withdrawal and redistribution of forces in an attempt to use them more effectively	dul:Action	debatable	dul:Event	Could be Action (agentive intentional redistribution) or Event (military occurrence).	07
oewn-00535381-n	glissade	(ballet) a gliding or sliding step in ballet	dul:Situation	debatable	dul:Action or dul:Event	Could be Action (agentive performance), Event (step occurrence), or Situation (body state).	07
oewn-07977993-n	clew	a ball of yarn or cord or thread	dul:FunctionalSubstance	agree		A functional material substance for crafting/use.	07
oewn-03160737-n	cyclotron	an accelerator that imparts energies of several million electron-volts to rapidly moving particles	dul:DesignedArtifact	agree		A designed physics/laboratory instrument built with purpose.	07
oewn-10792794-n	weeper	a person who weeps	dul:Person	agree		A weeper is a person; classification is correct.	07
oewn-02932421-a	Anglo-catholic	supporting the Anglican Church	dul:Quality	agree		Pertainym adjectives are conventionally kept as Quality; relational semantics in dct:relation.	07
oewn-11697936-n	stylopodium	an enlargement at the base of the style in some Umbelliferae	dul:BiologicalObject	agree		A botanical structure/part of a plant.	07
oewn-01325188-s	conscience-smitten	affected by conscience	dul:Quality	agree		Being conscience-smitten is a quality/state describing an entity.	07
oewn-05895546-n	Pauli exclusion principle	no two electrons or protons or neutrons in a given system can be in states characterized by the same set of quantum numbers	dul:Theory	agree		The Pauli exclusion principle is a scientific theory/law.	07
oewn-07549496-n	forlornness	sadness resulting from being forsaken or abandoned	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	disagree	dul:CognitiveState	Forlornness is a mental/emotional state, not an internal representation concept.	07
oewn-02070859-n	beaked whale	any of several whales inhabiting all oceans and having beaklike jaws with vestigial teeth in the upper jaw	dul:Organism	agree		A whale is a whole living organism.	07
oewn-06604625-n	tribute album	concept album compiling a performer's work or work supporting some worthy cause	dul:DesignedArtifact	agree		A tribute album is a designed musical artifact created to honor a performer.	07
oewn-02660104-a	autoimmune	of or relating to the immune response of the body against substance normally present in the body	dul:Quality	agree		Pertainym adjective; Quality classification with relational dct:relation to immune response.	07
oewn-00069492-s	oxidative	taking place in the presence of oxygen	dul:Quality	agree		Oxidative describes a quality/condition of a process or reaction.	07
oewn-05607524-n	double chin	a fold of fatty tissue under the chin	dul:BiologicalObject	agree		A fold of fatty tissue is a biological body part.	07
oewn-03882030-n	painter	a line that is attached to the bow of a boat and used for tying up (as when docking or towing)	dul:PhysicalObject	agree		A painter (rope) is a tangible physical object used for mooring.	07
oewn-01037919-v	whore	compromise oneself for money or other gains	dul:Event	debatable	dul:Action	Could be Action (agentive moral choice) or Event (occurrence of compromising behavior).	07
oewn-02651091-v	total	add up in number or quantity	dul:Event	disagree	dul:Action	Adding up is an intentional cognitive/arithmetic action, not a neutral event.	07
oewn-02958501-n	cap	something serving as a cover or protection	dul:PhysicalObject	debatable	dul:DesignedArtifact	Could be generic PhysicalObject or DesignedArtifact (made to serve specific function).	07
oewn-07893387-n	steak and kidney pie	steak with sauteed kidneys and onions cooked in wine and stock then covered with pastry and baked	dul:FunctionalSubstance	agree		A prepared food is a functional substance/artifact.	07
oewn-02769408-v	shimmer	shine with a weak or fitful light	dul:Action	debatable	dul:Event	Could be Action (agentive light-emission), Event (light occurrence), or Process (gradual fluctuation).	07
oewn-00119074-v	speciate	evolve so as to lead to a new species or develop in a way most suited to the environment	dul:Process	agree		Speciation is a gradual evolutionary change over time; Process is correct.	07
oewn-15026454-n	vat dye	a water-insoluble dye that is applied by reducing the dye to an alkaline form, applying the dye, then regenerating the insoluble dye by oxidation in the material; used for dyeing cotton	dul:FunctionalSubstance	agree		Vat dye is a substance defined by its functional role in textile dyeing.	07
oewn-02678923-v	balance	bring into balance or equilibrium	dul:Action	agree		Achieving/bringing into balance is an intentional agentive action.	07
oewn-10284978-n	lion-hunter	someone who tries to attract social lions as guests	dul:Person	agree		A lion-hunter is a person who pursues social contacts.	07
oewn-02720606-v	protuberate	cause to bulge out or project	dul:Action	agree		Causing something to bulge is agentive.	07
oewn-00005436-r	plainly	in a simple manner; without extravagance or embellishment	dul:Region	agree		Manner adverbs describe positions/values in quality space; Region is appropriate.	07
oewn-05684320-n	incognizance	a lack of knowledge or recognition	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	disagree	dul:CognitiveState	Incognizance (lack of knowledge) is a mental/cognitive state, not an internal representation.	07
oewn-01645896-n	robber frog	small terrestrial frog of tropical America	dul:Organism	agree		A frog is a whole living organism.	07
oewn-00956640-v	publicize	make public	dul:Action	agree		Publicizing is an intentional communicative action.	07
oewn-06667722-n	standing order	a rule of order permanently in force	ontopic:Topic	debatable	dul:Norm	Could be Topic (subject of discourse) or Norm (a standing rule/norm).	07
oewn-02573098-s	narrowed	reduced in size as by squeezing together	dul:PhysicalAttribute	agree		Size reduction is a physical dimension/attribute change.	07
oewn-00301770-v	habilitate	qualify for teaching at a university in Europe	dul:Action	agree		Professional qualification/habilitation is an intentional action.	07
oewn-00288497-v	imbue	suffuse with color	dul:Action	agree		Suffusing with color is an agentive action.	07
oewn-04197419-n	shelf bracket	a bracket to support a shelf	dul:DesignedArtifact	agree		A shelf bracket is a designed hardware artifact.	07
oewn-14682725-n	thulium	a soft silvery metallic element of the rare earth group; isotope 170 emits X-rays and is used in small portable X-ray machines; it occurs in monazite and apatite and xenotime	dul:ChemicalObject	agree		Thulium is a chemical element.	07
oewn-00931801-v	imply	express or state indirectly	dul:Action	agree		Implying is an intentional communicative action.	07
oewn-05953535-n	philosophy	any personal belief about how to live or how to deal with a situation	coll:InformationCollection	debatable	dul:CognitiveState or dul:Concept	Could be InformationCollection (set of beliefs), CognitiveState (mental construct), or Concept.	07
oewn-14015679-n	academic freedom	the freedom of teachers and students to express their ideas in school without religious or political or institutional restrictions	dul:Situation	debatable	dul:Right	Could be Situation (complex state of affairs) or Right (entitlement/privilege).	07
oewn-14408201-n	zoophobia	a morbid fear of animals	dul:Situation	debatable	dul:CognitiveState	Fear is a mental/emotional state; might better be classified as CognitiveState.	07
oewn-13421971-n	charge	financial liabilities (such as a tax)	dul:Right	debatable	dul:Obligation or dul:Amount	A financial liability is an obligation or amount owed, not strictly a Right.	07
oewn-02539213-s	unclaimed	not claimed or called for by an owner or assignee	dul:Quality	agree		Unclaimed is a quality/property of an entity.	07
oewn-13347997-n	linage	a rate of payment for written material that is measured according to the number of lines submitted	dul:Right	disagree	dul:Amount	A rate of payment is a monetary amount/quantity, not a Right (privilege/entitlement).	07
oewn-08174304-n	Qing	the last imperial dynasty of China (from 1644 to 1912) which was overthrown by revolutionaries; during the Qing dynasty China was ruled by the Manchu	coll:GeneticCollection	disagree	coll:Collective or dul:Organization	A dynasty is an organized political entity and temporal sequence, not a genetic collection.	08
oewn-00021547-v	etherize	anesthetize with ether	dul:Action	agree		Anesthetizing is an agentive action performed by a medical professional.	08
oewn-07464655-n	luau	an elaborate Hawaiian feast or party (especially one accompanied by traditional foods and entertainment)	dul:Event	debatable	dul:Action	A party is an organized social event; could be Event (general) or Action (agentive hosting).	08
oewn-06321703-n	indirect object	the object that is the recipient or beneficiary of the action of the verb	dul:InformationObject	agree		An indirect object is an abstract grammatical concept.	08
oewn-02610312-v	kick around	be around; be alive or active	dul:State	agree		"The gloss explicitly uses ""be,"" indicating a stative holding condition."	08
oewn-03727081-n	marina	a fancy dock for small yachts and cabin cruisers	dul:DesignedArtifact	debatable	dul:PhysicalPlace	Marina is both a designed artifact and a place; could be either depending on focus.	08
oewn-14504664-n	gas	the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ab	dul:FunctionalSubstance	disagree	dul:Substance	Gas is a state of matter classified by physical properties, not a functional substance.	08
oewn-03716684-n	main	a principal pipe in a system that distributes water or gas or electricity or that collects sewage	dul:PhysicalPlace	disagree	dul:DesignedArtifact	A main pipe is engineered infrastructure, not a location/place.	08
oewn-01196589-a	light	of the military or industry; using (or being) relatively small or light arms or equipment	dul:PhysicalAttribute	agree		Light arms and equipment refers to physical weight/size attributes.	08
oewn-08212263-n	League of Nations	an international organization formed in 1920 to promote cooperation and peace among nations; although suggested by Woodrow Wilson, the United States never joined and it remained powerless; it was diss	dul:Organization	agree		League of Nations is explicitly an international organization.	08
oewn-01485535-a	unmarried	not married or related to the unmarried state	dul:Quality	debatable	rol:Status	Unmarried is a social status or role, not strictly a quality.	08
oewn-12884920-n	rosemary	widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery	dul:Organism	agree		Rosemary is a living plant organism.	08
oewn-15066360-n	silicon bronze	a bronze with 2-3% silicon that is resistant to corrosion	dul:FunctionalSubstance	agree		Silicon bronze is a material with specific functional properties (corrosion resistance).	08
oewn-02472545-n	primate	any placental mammal of the order Primates; has good eyesight and flexible hands and feet	dul:Organism	debatable	coll:Taxon	Primate is a taxonomic class; both Organism and Taxon are defensible.	08
oewn-00505079-r	haggardly	in a haggard manner	dul:Region	agree		Manner adverbs map to Region (position in quality space).	08
oewn-92430061-n	Polishness	The quality or state of being Polish.	dul:Collection	disagree	dul:Quality	Polishness is an abstract quality, not a collection of things.	08
oewn-14394131-n	hyphema	bleeding into the interior chamber of the eye	dul:Situation	debatable	dul:State	Hyphema is a pathological condition; State (stative) is also defensible.	08
oewn-04510888-n	twist bit	a bit or drill having deep helical grooves	dul:DesignedArtifact	agree		A twist bit is a tool, a designed artifact for drilling.	08
oewn-00371917-v	heat	make hot or hotter	dul:Process	agree		Heating involves gradual temperature change, fitting Process definition.	08
oewn-14088725-n	nicotine addiction	an addiction to nicotine	dul:Situation	debatable	dul:State or dul:CognitiveState	Addiction is a condition; could be physiological State or cognitive/behavioral.	08
oewn-00394569-a	saturated	(of color) being chromatically pure; not diluted with white or grey or black	dul:PhysicalAttribute	agree		Color saturation is a measurable physical attribute.	08
oewn-08486468-n	naturalism	an artistic movement in 19th century France; artists and writers strove for detailed realistic and factual description	dul:Collective	agree		An artistic movement is a collective of artists and their works.	08
oewn-92463023-n	self-mockery	gentle humour at one's own expense.	ontopic:Topic	disagree	dul:Action or dul:Event	Self-mockery is a behavior/action, not a topic of discourse.	08
oewn-07705764-n	frankfurter bun	a long bun shaped to hold a frankfurter	dul:FunctionalSubstance	disagree	dul:Substance or dul:DesignedArtifact	A frankfurter bun is food (substance) or a designed form, not a functional substance.	08
oewn-01244328-s	slack	flowing with little speed as e.g. at the turning of the tide	dul:PhysicalAttribute	agree		Speed of flow is a measurable physical attribute.	08
oewn-00218901-v	dry	remove the moisture from and make dry	dul:Action	agree		Drying is an agentive action performed to remove moisture.	08
oewn-13577712-n	slump	a noticeable deterioration in performance or quality	dul:Process	agree		A slump is a gradual decline in performance/quality.	08
oewn-03135412-n	crepe de Chine	a very thin crepe of silk or silklike fabric	dul:DesignedArtifact	debatable	dul:Substance	Crepe de Chine is a fabric material; Substance is also defensible.	08
oewn-00427107-s	foul-mouthed	using foul or obscene language	dul:Quality	agree		Foul-mouthedness is a behavioral quality.	08
oewn-01355509-v	screw	tighten or fasten by means of screwing motions	dul:Action	agree		Screwing is an intentional action to fasten objects.	08
oewn-14744399-n	alpha-beta brass	a brass that has more zinc and is stronger than alpha brass; used in making castings and hot-worked products	dul:FunctionalSubstance	agree		Alpha-beta brass is an alloy with functional properties for casting.	08
oewn-01305377-v	closet	confine to a small space, as for intensive work	dul:Action	agree		Closeting is an intentional action to confine someone.	08
oewn-01638768-n	lungless salamander	mostly terrestrial salamanders that breathe through their thin moist skin; lay eggs in moist places on land; rarely enter water	dul:Organism	agree		A lungless salamander is a living organism.	08
oewn-14512697-n	depression	a long-term economic state characterized by unemployment and low prices and low levels of trade and investment	dul:Situation	debatable	dul:State	Economic depression is a state of affairs; State is also defensible.	08
oewn-09755345-n	Karakalpak	a member of a Turkic people living near Lake Aral in central Asia	dul:Person	agree		A Karakalpak is a person of a specific ethnic group.	08
oewn-00440307-a	inclement	(of weather or climate) severe	dul:Quality	agree		Inclemency is a quality of weather conditions.	08
oewn-00362917-s	easy	casual and unrestrained in sexual behavior	dul:Quality	agree		Being easy is a behavioral quality.	08
oewn-05121671-n	deficit	the property of being an amount by which something is less than expected or required	dul:Quality	disagree	dul:Amount	A deficit is a quantity/amount, not an abstract quality.	08
oewn-05253118-n	blackhead	a black-tipped plug clogging a pore of the skin	dul:Quality	disagree	dul:BiologicalObject or dul:PhysicalObject	A blackhead is a physical comedone in the skin, not a quality.	08
oewn-15317965-n	day shift	the work shift during the day (as 8 a.m. to 4 p.m.)	dul:TimeInterval	agree		A day shift is a defined time interval.	08
oewn-02662486-v	shelter	provide shelter for	dul:Action	agree		Sheltering is an intentional action to provide refuge.	08
