oewn_id	pos	dulplus_class	method	primary_lemma	provenance	gloss
oewn-92447444-n	n	dul:Action	phase5alt_propagated_from_hypernym	belittlement	from oewn-01222382-n	the act of making a person or a thing seem little or unimportant.
oewn-00660578-s	s	dul:PhysicalAttribute	phase4_A1_satellite_inherits_head	blockish	inherited from head oewn-00660221-a	resembling a block in shape
oewn-02174748-v	v	dul:Action	phase3_propagated_from_hypernym	listen in	from oewn-02174335-v[tier1_derivation]	listen quietly, without contributing to the conversation
oewn-02681081-v	v	dul:State	phase8_re_propagated	emulate	inherited from revised anchor oewn-02671359-v (dul:State)	imitate the function of (another system), as by modifying the hardware or the software
oewn-00403446-v	v	dul:Action	phase3_tier2_indirect	complicate	peer=oewn-00401333-v(dul:Action)	make more complicated
oewn-04932754-n	n	dul:Quality	phase1_propagated	obsoleteness	synset-obsoleteness-noun-1	the property of being out of date and not current
oewn-02267560-v	v	dul:Action	phase3_tier1_derivation	present	deriv→oewn-01050621-n(marker='the activity of')	hand over formally
oewn-81787827-n	n	dul:Person	phase5alt_propagated_transitively	first basewoman	from oewn-10112257-n (which was propagated)	(baseball) a woman who plays first base
oewn-01643372-s	s	dul:Quality	phase4_A1_satellite_inherits_head	antediluvian	inherited from head oewn-01642580-a	so extremely old as seeming to belong to an earlier period
oewn-00911705-a	a	dul:Quality	phase4_A5_adj_head_default	euphemistic	adj.all head default	of or the nature of euphemism
oewn-10254839-n	n	dul:Person	phase1_propagated	kingpin	synset-kingpin-noun-1	the most important person in a group or undertaking
oewn-12664449-n	n	dul:Organism	phase1_propagated	amarelle	synset-amarelle-noun-1	any of several cultivated sour cherry trees bearing pale red fruit with colorless juice
oewn-14115007-n	n	dul:Situation	phase5alt_propagated_from_hypernym	Friedreich's ataxia	from oewn-14114736-n	sclerosis of the posterior and lateral columns of the spinal cord; characterized by muscular weakness and abnormal gait; occurs in children
oewn-00509856-r	r	dul:Region	phase4_R1_adv_manner	measuredly	manner adverb	in a deliberate unhurried manner
oewn-07773108-n	n	dul:BiologicalObject	phase1_propagated	cherry	synset-cherry-noun-3	a red fruit with a single hard stone
oewn-01510340-s	s	dul:Quality	phase4_A1_satellite_inherits_head	thawed	inherited from head oewn-01509670-a	no longer frozen solid
oewn-02179812-s	s	dul:Quality	phase4_A1_satellite_inherits_head	cleft	inherited from head oewn-02178581-a	having one or more indentations reaching nearly to the midrib
oewn-01606806-v	v	dul:Action	phase3_propagated_from_hypernym	lance	from oewn-01348685-v[tier1_derivation]	open by piercing with a lancet
oewn-07384725-n	n	dul:Event	phase1_propagated	entrance	synset-entrance-noun-2	a movement into or inward
oewn-13730246-n	n	dul:Amount	phase1_propagated	Western Samoan monetary unit	synset-Western_Samoan_monetary_unit-noun-1	monetary unit in Western Samoa
oewn-02094323-s	s	dul:Quality	phase4_A1_satellite_inherits_head	open	inherited from head oewn-02094136-a	not sealed or having been unsealed
oewn-06544086-n	n	dul:InformationRealization	phase1_propagated	act	synset-act-noun-1	a legal document codifying the result of deliberations of a committee or society or legislative body
oewn-03507653-n	n	dul:PhysicalObject	phase1_propagated	headdress	synset-headdress-noun-1	clothing for the head
oewn-00694299-s	s	dul:PhysicalAttribute	phase8_systematic_review_from_phase4_A1_satellite_inherits_head	deep-water	decision D-007257: satellite's gloss has physical-attr keyword; head was generic Quality	of or carried on in waters of great depth
oewn-11965220-n	n	dul:Organism	phase1_propagated	welted thistle	synset-welted_thistle-noun-1	European biennial introduced in North America having flower heads in crowded clusters at ends of branches
oewn-04510146-n	n	dul:DesignedArtifact	phase1_propagated	twenty-two	synset-twenty-two-noun-2	a .22 caliber firearm (pistol or rifle)
oewn-00501486-s	s	dul:Quality	phase4_A1_satellite_inherits_head	Oscan-speaking	inherited from head oewn-00496952-a	able to communicate in Oscan
oewn-02736753-a	a	dul:Quality	phase4_A2_pertainym_default	femoral	adj.pert head — relational adjective	of or relating to or near the femur or thigh
oewn-02855054-n	n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	phase1_propagated	blind curve	synset-blind_curve-noun-1	a curve or bend in the road that you cannot see around as you are driving
oewn-01182121-s	s	dul:Quality	phase4_A1_satellite_inherits_head	windburned	inherited from head oewn-01176433-a	suffering from windburn
oewn-02670109-a	a	dul:Quality	phase4_A2_pertainym_default	basidiomycetous	adj.pert head — relational adjective	pertaining to or characteristic of fungi of the class Basidiomycetes
oewn-11533612-n	n	dul:Event	phase1_propagated	Doppler effect	synset-Doppler_effect-noun-1	change in the apparent frequency of a wave as observer and source move toward or away from each other
oewn-01170419-s	s	dul:Quality	phase4_A1_satellite_inherits_head	organic	inherited from head oewn-01168307-a	simple and healthful and close to nature
oewn-10052249-n	n	dul:Person	phase1_propagated	drawer	synset-drawer-noun-2	the person who writes a check or draft instructing the drawee to pay someone else
oewn-10308999-n	n	dul:Person	phase1_propagated	management consultant	synset-management_consultant-noun-1	adviser to business about efficient management practices
oewn-00282463-v	v	dul:Action	phase3_propagated_from_hypernym	blackwash	from oewn-00284671-v[propagated_from_hypernym]	color with blackwash
oewn-03326364-n	n	dul:DesignedArtifact	phase1_propagated	fanjet	synset-fanjet-noun-1	an airplane propelled by a fanjet engine
oewn-02750182-n	n	dul:DesignedArtifact	phase1_propagated	ashcan	synset-ashcan-noun-1	a bin that holds rubbish until it is collected
oewn-00102859-n	n	dul:Action	phase1_propagated	double stopping	synset-double_stopping-noun-1	stopping two strings and producing two notes at the same time
oewn-07662187-n	n	dul:FunctionalSubstance	phase1_propagated	duck	synset-duck-noun-3	flesh of a duck (domestic or wild)
oewn-13559517-n	n	dul:Process	phase1_propagated	plastination	synset-plastination-noun-1	a process involving fixation and dehydration and forced impregnation and hardening of biological tissues; water and lipids are replaced by curable polymers (silicone or epoxy or polyester) that are su
oewn-12047691-n	n	dul:Organism	phase1_propagated	salsify	synset-salsify-noun-2	Mediterranean biennial herb with long-stemmed heads of purple ray flowers and milky sap and long edible root; naturalized throughout United States
oewn-13830617-n	n	dul:Relation	phase1_propagated	antonymy	synset-antonymy-noun-1	the semantic relation that holds between two words that can (in a given context) express opposite meanings
oewn-02004789-v	v	dul:Action	phase8_re_propagated	marshal	inherited from revised anchor oewn-02372362-v (dul:Action)	lead ceremoniously, as in a procession
oewn-11936936-n	n	dul:Organism	phase1_propagated	achillea	synset-achillea-noun-1	any of several plants of the genus Achillea native to Europe and having small white flowers in flat-topped flower heads
oewn-82008392-n	n	dul:Person	phase5alt_propagated_transitively	alderwoman	from oewn-09801838-n (which was propagated)	a female member of a municipal legislative body (as a city council)
oewn-11676425-n	n	dul:Organism	phase1_propagated	westland pine	synset-westland_pine-noun-1	timber tree of New Zealand having shiny white wood
oewn-09775968-n	n	dul:Person	phase1_propagated	abolitionist	synset-abolitionist-noun-1	a reformer who favors abolishing slavery
oewn-02534026-s	s	dul:Quality	phase4_A1_satellite_inherits_head	compromising	inherited from head oewn-02533434-a	vulnerable to danger especially of discredit or suspicion
oewn-00428752-a	a	dul:Quality	phase4_A5_adj_head_default	nonradioactive	adj.all head default	not radioactive
oewn-00111759-r	r	dul:Region	phase4_R7_adv_default	militarily	adverb default (quality region)	with respect to the military
oewn-00595853-n	n	dul:Action	phase1_propagated	magistracy	synset-magistracy-noun-1	the position of magistrate
oewn-02692820-n	n	dul:PhysicalPlace	phase1_propagated	air-intake	synset-air-intake-noun-1	a duct that admits air to be mixed with fuel
oewn-03258101-n	n	dul:PhysicalPlace	phase1_propagated	duct	synset-duct-noun-3	an enclosed conduit for a fluid
oewn-10534022-n	n	dul:Person	phase1_propagated	referee	synset-referee-noun-1	(sports) the chief official (as in boxing or American football) who is expected to ensure fair play
oewn-06838913-n	n	dul:InformationRealization	phase1_propagated	bicameral script	synset-bicameral_script-noun-1	a script having two distinct cases
oewn-07717342-n	n	dul:FunctionalSubstance	phase1_propagated	couscous	synset-couscous-noun-2	a pasta made in northern Africa of crushed and steamed semolina
oewn-00417927-n	n	dul:Method	phase1_propagated	unwritten law	synset-unwritten_law-noun-1	law based on customary behavior
oewn-09279178-n	n	dul:FunctionalSubstance	phase1_propagated	coprolite	synset-coprolite-noun-1	fossil excrement; petrified dung
oewn-02279401-n	n	dul:Organism	phase1_propagated	white admiral	synset-white_admiral-noun-2	Eurasian butterfly with brown wings and white markings
oewn-07331203-n	n	dul:EventType	phase1_propagated	plague	synset-plague-noun-4	any large scale calamity (especially when thought to be sent by God)
oewn-14989310-n	n	dul:ChemicalObject	phase1_propagated	cellulose acetate	synset-cellulose_acetate-noun-1	an ester of acetic acid; used in fibers and fabrics; photographic films and varnishes
oewn-00779033-v	v	dul:Action	phase3_propagated_from_hypernym	hex	from oewn-02592550-v[propagated_from_hypernym]	cast a spell over someone or something; put a hex on someone or something
oewn-09915013-n	n	dul:Person	phase1_propagated	caregiver	synset-caregiver-noun-2	a person who is responsible for attending to the needs of a child or dependent adult
oewn-09246394-n	n	dul:PhysicalBody	phase1_propagated	bladder stone	synset-bladder_stone-noun-1	a calculus formed in the bladder
oewn-13894356-n	n	dul:SpaceRegion	phase1_propagated	diameter	synset-diameter-noun-2	a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)
oewn-00931247-n	n	dul:Action	phase1_propagated	object-oriented programming	synset-object-oriented_programming-noun-1	creating a program that can use and support objects
oewn-07325733-n	n	dul:Event	phase1_propagated	change of location	synset-change_of_location-noun-1	a movement through space that changes the location of something
oewn-07320525-n	n	dul:EventType	phase1_propagated	hell	synset-hell-noun-2	a cause of difficulty and suffering
oewn-04979195-n	n	dul:Quality	phase1_propagated	brown	synset-brown-noun-1	an orange of low brightness and saturation
oewn-15092849-n	n	dul:ChemicalObject	phase1_propagated	telomerase	synset-telomerase-noun-1	an enzyme in eukaryotic cells that can add telomeres to the ends of chromosomes after they divide
oewn-09918344-n	n	dul:Person	phase1_propagated	case	synset-case-noun-6	a person requiring professional services
oewn-01258711-n	n	dul:Action	phase1_propagated	yodeling	synset-yodeling-noun-1	singing by changing back and forth between the chest voice and a falsetto
oewn-02902184-a	a	dul:Quality	phase4_A2_pertainym_default	mechanical	adj.pert head — relational adjective	relating to or governed by or in accordance with mechanics
oewn-06567838-n	n	dul:InformationRealization	phase1_propagated	writ of election	synset-writ_of_election-noun-1	a writ ordering the holding of an election
oewn-02618797-a	a	dul:Quality	phase4_A2_pertainym_default	agranulocytic	adj.pert head — relational adjective	relating to the blood disorder of agranulocytosis
oewn-13880801-n	n	dul:Relation	phase1_propagated	reverse	synset-reverse-noun-1	a relation of direct opposition
oewn-06526084-n	n	dul:InformationRealization	phase1_propagated	history	synset-history-noun-2	a record or narrative description of past events
oewn-10812496-n	n	dul:Person	phase1_propagated	wrecker	synset-wrecker-noun-1	someone who demolishes or dismantles buildings as a job
oewn-13763838-n	n	dul:Amount	phase1_propagated	decimal digit	synset-decimal_digit-noun-1	a digit from 0 to 9 in decimal notation
oewn-13707070-n	n	dul:Amount	phase1_propagated	lempira	synset-lempira-noun-1	the basic unit of money in Honduras; equal to 100 centavos
oewn-12373361-n	n	dul:Organism	phase1_propagated	Japanese banana	synset-Japanese_banana-noun-1	Asiatic banana plant cultivated especially as a foliage plant in Japan
oewn-07941074-n	n	dul:FunctionalSubstance	phase1_propagated	orange juice	synset-orange_juice-noun-1	bottled or freshly squeezed juice of oranges
oewn-02995666-n	n	dul:DesignedArtifact	phase1_propagated	cello	synset-cello-noun-1	a large stringed instrument; seated player holds it upright while playing
oewn-11855123-n	n	dul:Organism	phase1_propagated	saltwort	synset-saltwort-noun-1	bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
oewn-08494175-n	n	coll:AgentCollection	phase1_propagated	unconfessed	synset-unconfessed-noun-1	people who have not confessed
oewn-14524403-n	n	dul:Situation	phase1_propagated	rummage	synset-rummage-noun-1	a jumble of things to be given away
oewn-13946252-n	n	dul:Situation	phase1_propagated	conditions	synset-conditions-noun-1	the prevailing context that influences the performance or the outcome of a process
oewn-00894463-s	s	dul:Quality	phase4_A1_satellite_inherits_head	even	inherited from head oewn-00893124-a	equal in degree or extent or amount; or equally matched or balanced
oewn-02480870-n	n	dul:Organism	phase1_propagated	rudapithecus	synset-rudapithecus-noun-1	fossil hominoids from northern central Hungary; late Miocene
oewn-08138092-n	n	dul:Organization	phase1_propagated	fire department	synset-fire_department-noun-1	the department of local government responsible for preventing and extinguishing fires
oewn-02744251-a	a	dul:Quality	phase4_A2_pertainym_default	gastroesophageal	adj.pert head — relational adjective	of or relating to or involving the stomach and esophagus
oewn-14061298-n	n	dul:Situation	phase1_propagated	cybersex	synset-cybersex-noun-1	sexual arousal involving communication on the internet
oewn-02650706-v	v	dul:Action	phase3_tier1_derivation	override	deriv→oewn-00232434-n(marker='the act of')	prevail over
oewn-09742978-n	n	dul:Person	phase1_propagated	Moroccan	synset-Moroccan-noun-1	a native or inhabitant of Morocco
oewn-13632230-n	n	dul:Amount	phase1_propagated	circular measure	synset-circular_measure-noun-1	measurement of angles in radians
oewn-03135689-n	n	dul:DesignedArtifact	phase1_propagated	crest	synset-crest-noun-4	(heraldry) in medieval times, an emblem used to decorate a helmet
oewn-02191314-v	v	dul:Action	phase8_systematic_review_from_phase3_tier3_default_event	splash	decision D-001105: Phase 3.5 rules support dul:Action; Phase 3.5 rules R2: R2=dul:Action_signals:1	make a splashing sound
oewn-02540759-v	v	dul:Action	phase3_tier1_derivation	chase	deriv→oewn-00320765-n(marker='the act of')	pursue someone sexually or romantically
oewn-13343780-n	n	dul:Right	phase1_propagated	mintage	synset-mintage-noun-2	fee paid to a mint by the government for minting a coin
oewn-13794160-n	n	dul:Amount	phase1_propagated	dollop	synset-dollop-noun-1	a small measure (usually of food)
oewn-01048429-s	s	dul:Quality	phase4_A1_satellite_inherits_head	free-and-easy	inherited from head oewn-01047939-a	natural and unstudied
oewn-04803974-n	n	dul:Quality	phase1_propagated	unexpectedness	synset-unexpectedness-noun-1	extraordinariness by virtue of being unexpected
oewn-10109548-n	n	dul:Person	phase1_propagated	finalist	synset-finalist-noun-1	a contestant who reaches the final stages of a competition
oewn-01146273-n	n	dul:Action	phase1_propagated	redeployment	synset-redeployment-noun-1	the withdrawal and redistribution of forces in an attempt to use them more effectively
oewn-00535381-n	n	dul:Situation	phase1_propagated	glissade	synset-glissade-noun-1	(ballet) a gliding or sliding step in ballet
oewn-07977993-n	n	dul:FunctionalSubstance	phase1_propagated	clew	synset-clew-noun-1	a ball of yarn or cord or thread
oewn-03160737-n	n	dul:DesignedArtifact	phase1_propagated	cyclotron	synset-cyclotron-noun-1	an accelerator that imparts energies of several million electron-volts to rapidly moving particles
oewn-10792794-n	n	dul:Person	phase1_propagated	weeper	synset-weeper-noun-1	a person who weeps
oewn-02932421-a	a	dul:Quality	phase4_A2_pertainym_default	Anglo-catholic	adj.pert head — relational adjective	supporting the Anglican Church
oewn-11697936-n	n	dul:BiologicalObject	phase1_propagated	stylopodium	synset-stylopodium-noun-1	an enlargement at the base of the style in some Umbelliferae
oewn-01325188-s	s	dul:Quality	phase4_A1_satellite_inherits_head	conscience-smitten	inherited from head oewn-01323940-a	affected by conscience
oewn-05895546-n	n	dul:Theory	phase1_propagated	Pauli exclusion principle	synset-Pauli_exclusion_principle-noun-1	no two electrons or protons or neutrons in a given system can be in states characterized by the same set of quantum numbers
oewn-07549496-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	forlornness	synset-forlornness-noun-1	sadness resulting from being forsaken or abandoned
oewn-02070859-n	n	dul:Organism	phase1_propagated	beaked whale	synset-beaked_whale-noun-1	any of several whales inhabiting all oceans and having beaklike jaws with vestigial teeth in the upper jaw
oewn-06604625-n	n	dul:DesignedArtifact	phase1_propagated	tribute album	synset-tribute_album-noun-1	concept album compiling a performer's work or work supporting some worthy cause
oewn-02660104-a	a	dul:Quality	phase4_A2_pertainym_default	autoimmune	adj.pert head — relational adjective	of or relating to the immune response of the body against substance normally present in the body
oewn-00069492-s	s	dul:Quality	phase4_A1_satellite_inherits_head	oxidative	inherited from head oewn-00069175-a	taking place in the presence of oxygen
oewn-05607524-n	n	dul:BiologicalObject	phase1_propagated	double chin	synset-double_chin-noun-1	a fold of fatty tissue under the chin
oewn-03882030-n	n	dul:PhysicalObject	phase1_propagated	painter	synset-painter-noun-3	a line that is attached to the bow of a boat and used for tying up (as when docking or towing)
oewn-01037919-v	v	dul:Event	phase8_re_propagated	whore	inherited from revised anchor oewn-01037402-v (dul:Event)	compromise oneself for money or other gains
oewn-02651091-v	v	dul:Event	phase3_tier3_default_event	total	gloss	add up in number or quantity
oewn-02958501-n	n	dul:PhysicalObject	phase1_propagated	cap	synset-cap-noun-4	something serving as a cover or protection
oewn-07893387-n	n	dul:FunctionalSubstance	phase1_propagated	steak and kidney pie	synset-steak_and_kidney_pie-noun-1	steak with sauteed kidneys and onions cooked in wine and stock then covered with pastry and baked
oewn-02769408-v	v	dul:Action	phase3_propagated_from_hypernym	shimmer	from oewn-02769698-v[propagated_from_hypernym]	shine with a weak or fitful light
oewn-00119074-v	v	dul:Process	phase8_systematic_review_from_phase3_propagated_from_hypernym	speciate	decision D-001104: Phase 3.5 rules support dul:Process; Phase 3.5 rules R2: R2=dul:Process_signals:2	evolve so as to lead to a new species or develop in a way most suited to the environment
oewn-15026454-n	n	dul:FunctionalSubstance	phase1_propagated	vat dye	synset-vat_dye-noun-1	a water-insoluble dye that is applied by reducing the dye to an alkaline form, applying the dye, then regenerating the insoluble dye by oxidation in the material; used for dyeing cotton
oewn-02678923-v	v	dul:Action	phase3_propagated_from_hypernym	balance	from oewn-00457695-v[propagated_from_hypernym]	bring into balance or equilibrium
oewn-10284978-n	n	dul:Person	phase1_propagated	lion-hunter	synset-lion-hunter-noun-1	someone who tries to attract social lions as guests
oewn-02720606-v	v	dul:Action	phase3_propagated_from_hypernym	protuberate	from oewn-00772482-v[tier1_derivation]	cause to bulge out or project
oewn-00005436-r	r	dul:Region	phase4_R1_adv_manner	plainly	manner adverb	in a simple manner; without extravagance or embellishment
oewn-05684320-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	incognizance	synset-incognizance-noun-1	a lack of knowledge or recognition
oewn-01645896-n	n	dul:Organism	phase1_propagated	robber frog	synset-robber_frog-noun-2	small terrestrial frog of tropical America
oewn-00956640-v	v	dul:Action	phase3_propagated_from_hypernym	publicize	from oewn-00954556-v[propagated_from_hypernym]	make public
oewn-06667722-n	n	ontopic:Topic	phase1_propagated	standing order	synset-standing_order-noun-1	a rule of order permanently in force
oewn-02573098-s	s	dul:PhysicalAttribute	phase8_systematic_review_from_phase4_A1_satellite_inherits_head	narrowed	decision D-007414: satellite's gloss has physical-attr keyword; head was generic Quality	reduced in size as by squeezing together
oewn-00301770-v	v	dul:Action	phase3_propagated_from_hypernym	habilitate	from oewn-00301542-v[tier2_indirect]	qualify for teaching at a university in Europe
oewn-00288497-v	v	dul:Action	phase3_propagated_from_hypernym	imbue	from oewn-00284671-v[propagated_from_hypernym]	suffuse with color
oewn-04197419-n	n	dul:DesignedArtifact	phase1_propagated	shelf bracket	synset-shelf_bracket-noun-1	a bracket to support a shelf
oewn-14682725-n	n	dul:ChemicalObject	phase1_propagated	thulium	synset-thulium-noun-1	a soft silvery metallic element of the rare earth group; isotope 170 emits X-rays and is used in small portable X-ray machines; it occurs in monazite and apatite and xenotime
oewn-00931801-v	v	dul:Action	phase3_propagated_from_hypernym	imply	from oewn-00945869-v[propagated_from_hypernym]	express or state indirectly
oewn-05953535-n	n	coll:InformationCollection	phase1_propagated	philosophy	synset-philosophy-noun-3	any personal belief about how to live or how to deal with a situation
oewn-14015679-n	n	dul:Situation	phase1_propagated	academic freedom	synset-academic_freedom-noun-1	the freedom of teachers and students to express their ideas in school without religious or political or institutional restrictions
oewn-14408201-n	n	dul:Situation	phase1_propagated	zoophobia	synset-zoophobia-noun-1	a morbid fear of animals
oewn-13421971-n	n	dul:Right	phase1_propagated	charge	synset-charge-noun-8	financial liabilities (such as a tax)
oewn-02539213-s	s	dul:Quality	phase4_A1_satellite_inherits_head	unclaimed	inherited from head oewn-02537893-a	not claimed or called for by an owner or assignee
oewn-13347997-n	n	dul:Right	phase1_propagated	linage	synset-linage-noun-2	a rate of payment for written material that is measured according to the number of lines submitted
oewn-08174304-n	n	coll:GeneticCollection	phase1_propagated	Qing	synset-Qing-noun-1	the last imperial dynasty of China (from 1644 to 1912) which was overthrown by revolutionaries; during the Qing dynasty China was ruled by the Manchu
oewn-00021547-v	v	dul:Action	phase3_propagated_from_hypernym	etherize	from oewn-00021058-v[propagated_from_hypernym]	anesthetize with ether
oewn-07464655-n	n	dul:Event	phase1_propagated	luau	synset-luau-noun-1	an elaborate Hawaiian feast or party (especially one accompanied by traditional foods and entertainment)
oewn-06321703-n	n	dul:InformationObject	phase1_propagated	indirect object	synset-indirect_object-noun-1	the object that is the recipient or beneficiary of the action of the verb
oewn-02610312-v	v	dul:State	phase3_tier3_gloss_starts_be	kick around	gloss	be around; be alive or active
oewn-03727081-n	n	dul:DesignedArtifact	phase1_propagated	marina	synset-marina-noun-1	a fancy dock for small yachts and cabin cruisers
oewn-14504664-n	n	dul:FunctionalSubstance	phase8_systematic_review_from_phase1_propagated	gas	decision D-004963: gloss opens 'the state of' — Silva perdurant marker	the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ab
oewn-03716684-n	n	dul:PhysicalPlace	phase1_propagated	main	synset-main-noun-2	a principal pipe in a system that distributes water or gas or electricity or that collects sewage
oewn-01196589-a	a	dul:PhysicalAttribute	phase4_A4_physical_attr_keyword	light	gloss has physical-attribute marker	of the military or industry; using (or being) relatively small or light arms or equipment
oewn-08212263-n	n	dul:Organization	phase1_propagated	League of Nations	synset-League_of_Nations-noun-1	an international organization formed in 1920 to promote cooperation and peace among nations; although suggested by Woodrow Wilson, the United States never joined and it remained powerless; it was diss
oewn-01485535-a	a	dul:Quality	phase4_A5_adj_head_default	unmarried	adj.all head default	not married or related to the unmarried state
oewn-12884920-n	n	dul:Organism	phase1_propagated	rosemary	synset-rosemary-noun-1	widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery
oewn-15066360-n	n	dul:FunctionalSubstance	phase1_propagated	silicon bronze	synset-silicon_bronze-noun-1	a bronze with 2-3% silicon that is resistant to corrosion
oewn-02472545-n	n	dul:Organism	phase1_propagated	primate	synset-primate-noun-2	any placental mammal of the order Primates; has good eyesight and flexible hands and feet
oewn-00505079-r	r	dul:Region	phase4_R1_adv_manner	haggardly	manner adverb	in a haggard manner
oewn-92430061-n	n	dul:Collection	phase5alt_propagated_from_hypernym	Polishness	from oewn-04930920-n	The quality or state of being Polish.
oewn-14394131-n	n	dul:Situation	phase1_propagated	hyphema	synset-hyphema-noun-1	bleeding into the interior chamber of the eye
oewn-04510888-n	n	dul:DesignedArtifact	phase1_propagated	twist bit	synset-twist_bit-noun-1	a bit or drill having deep helical grooves
oewn-00371917-v	v	dul:Process	phase3_tier2_indirect	heat	peer=oewn-00371065-v(dul:Process)	make hot or hotter
oewn-14088725-n	n	dul:Situation	phase1_propagated	nicotine addiction	synset-nicotine_addiction-noun-1	an addiction to nicotine
oewn-00394569-a	a	dul:PhysicalAttribute	phase4_A4_physical_attr_keyword	saturated	gloss has physical-attribute marker	(of color) being chromatically pure; not diluted with white or grey or black
oewn-08486468-n	n	dul:Collective	phase1_propagated	naturalism	synset-naturalism-noun-2	an artistic movement in 19th century France; artists and writers strove for detailed realistic and factual description
oewn-92463023-n	n	ontopic:Topic	phase5alt_propagated_from_hypernym	self-mockery	from oewn-06729173-n	gentle humour at one's own expense.
oewn-07705764-n	n	dul:FunctionalSubstance	phase1_propagated	frankfurter bun	synset-frankfurter_bun-noun-1	a long bun shaped to hold a frankfurter
oewn-01244328-s	s	dul:PhysicalAttribute	phase8_systematic_review_from_phase4_A1_satellite_inherits_head	slack	decision D-007289: satellite's gloss has physical-attr keyword; head was generic Quality	flowing with little speed as e.g. at the turning of the tide
oewn-00218901-v	v	dul:Action	phase3_tier2_indirect	dry	peer=oewn-00215377-v(dul:Action)	remove the moisture from and make dry
oewn-13577712-n	n	dul:Process	phase1_propagated	slump	synset-slump-noun-1	a noticeable deterioration in performance or quality
oewn-03135412-n	n	dul:DesignedArtifact	phase1_propagated	crepe de Chine	synset-crepe_de_Chine-noun-1	a very thin crepe of silk or silklike fabric
oewn-00427107-s	s	dul:Quality	phase4_A1_satellite_inherits_head	foul-mouthed	inherited from head oewn-00425889-a	using foul or obscene language
oewn-01355509-v	v	dul:Action	phase3_propagated_from_hypernym	screw	from oewn-00421085-v[tier1_derivation]	tighten or fasten by means of screwing motions
oewn-14744399-n	n	dul:FunctionalSubstance	phase1_propagated	alpha-beta brass	synset-alpha-beta_brass-noun-1	a brass that has more zinc and is stronger than alpha brass; used in making castings and hot-worked products
oewn-01305377-v	v	dul:Action	phase3_propagated_from_hypernym	closet	from oewn-01349980-v[propagated_from_hypernym]	confine to a small space, as for intensive work
oewn-01638768-n	n	dul:Organism	phase1_propagated	lungless salamander	synset-lungless_salamander-noun-1	mostly terrestrial salamanders that breathe through their thin moist skin; lay eggs in moist places on land; rarely enter water
oewn-14512697-n	n	dul:Situation	phase1_propagated	depression	synset-depression-noun-2	a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
oewn-09755345-n	n	dul:Person	phase1_propagated	Karakalpak	synset-Karakalpak-noun-1	a member of a Turkic people living near Lake Aral in central Asia
oewn-00440307-a	a	dul:Quality	phase4_A5_adj_head_default	inclement	adj.all head default	(of weather or climate) severe
oewn-00362917-s	s	dul:Quality	phase4_A1_satellite_inherits_head	easy	inherited from head oewn-00362589-a	casual and unrestrained in sexual behavior
oewn-05121671-n	n	dul:Quality	phase1_propagated	deficit	synset-deficit-noun-1	the property of being an amount by which something is less than expected or required
oewn-05253118-n	n	dul:Quality	phase1_propagated	blackhead	synset-blackhead-noun-1	a black-tipped plug clogging a pore of the skin
oewn-15317965-n	n	dul:TimeInterval	phase1_propagated	day shift	synset-day_shift-noun-1	the work shift during the day (as 8 a.m. to 4 p.m.)
oewn-02662486-v	v	dul:Action	phase3_propagated_from_hypernym	shelter	from oewn-02332196-v[tier1_derivation]	provide shelter for
oewn-06754423-n	n	ontopic:Topic	phase1_propagated	extenuation	synset-extenuation-noun-1	a partial excuse to mitigate censure; an attempt to represent an offense as less serious than it appears by showing mitigating circumstances
oewn-06993745-n	n	dul:InformationObject	phase5alt_propagated_from_hypernym	Pengo	from oewn-06993125-n	a Dravidian language spoken in south central India, particularly in Odisha
oewn-08186969-n	n	dul:System	phase1_propagated	Weimar Republic	synset-Weimar_Republic-noun-1	the German republic founded at Weimar in 1919
oewn-11686099-n	n	dul:Organism	phase1_propagated	angiocarp	synset-angiocarp-noun-1	tree bearing fruit enclosed in a shell or involucre or husk
oewn-05733214-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	twinge	synset-twinge-noun-2	a sharp stab of pain
oewn-02019253-s	s	dul:Quality	phase4_A1_satellite_inherits_head	awed	inherited from head oewn-02018906-a	inspired by a feeling of fearful wonderment or reverence
oewn-13459261-n	n	dul:Process	phase1_propagated	bed-wetting	synset-bed-wetting-noun-1	enuresis during sleep; especially common in children (who usually outgrow it)
oewn-02477113-v	v	dul:Action	phase3_tier1_derivation	register	deriv→oewn-00050857-n(marker='the act of')	record in writing; enter into a book of names or events or transactions
oewn-14735358-n	n	dul:ChemicalObject	phase1_propagated	acetamide	synset-acetamide-noun-1	a colorless solid amide of acetic acid used as a solvent and in the synthesis of organic compounds
