doubt_id	oewn_id	pos	primary_lemma	gloss	chosen_class	chosen_reason	alternative_class	alternative_reason	class_distance	doubt_category	method	priority_score	downstream_count	decision	decision_comment
D-002398	oewn-03308776-n	n	exhibition hall	a large hall or area for holding exhibitions	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002399	oewn-03312219-n	n	exterior door	a doorway that allows entrance to or exit from a building	dul:PhysicalPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	8.4	4		
D-002400	oewn-03318278-n	n	facade	the face or front of a building	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002401	oewn-03318401-n	n	face	a vertical surface of a building or cliff	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.2	2		
D-002402	oewn-03318818-n	n	face	the striking or working surface of an implement	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002403	oewn-03319968-n	n	facility	a building or place that provides a particular service or is used for a particular industry	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	86.4	134		
D-002404	oewn-03320589-n	n	facing	a protective covering that protects the outside of a building	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002405	oewn-03320935-n	n	facing	an ornamental coating to a building	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002406	oewn-03324690-n	n	family room	a recreation room in a private house	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002407	oewn-03327515-n	n	farm building	a building on a farm	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	9.6	6		
D-002408	oewn-03328156-n	n	farmyard	an area adjacent to farm buildings	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002409	oewn-03330714-n	n	feature	an article of merchandise that is displayed or advertised more than other articles	dul:DesignedArtifact	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002410	oewn-03331316-n	n	feedlot	a building where livestock are fattened for market	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002411	oewn-03332179-n	n	fence	a barrier that serves to enclose an area	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	15.0	15		
D-002412	oewn-03334247-n	n	Ferris wheel	a vertical rotating mechanism consisting of a large wheel with suspended seats that remain upright as the wheel rotates; provides a ride at an amusement park	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002413	oewn-03335219-n	n	festoon	flower chains suspended in curves between points as a decoration	dul:Collection	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	2	C2_hypernym_vs_gloss	phase1_propagated	4.0	0		
D-002414	oewn-03336189-n	n	fiber	a leatherlike material made by compressing layers of paper or cloth	dul:DesignedArtifact	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002415	oewn-03338555-n	n	field house	a building for indoor sports	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002416	oewn-03346795-n	n	finger hole	one of a series of holes in a woodwind instrument; pitch changes when a finger covers it	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002417	oewn-03349961-n	n	firecracker	firework consisting of a small explosive charge and fuse in a heavy paper casing	dul:FunctionalSubstance	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.8	3		
D-002418	oewn-03350504-n	n	fire escape	a stairway (often on the outside of a building) that permits exit in the case of fire or other emergency	dul:PhysicalPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002419	oewn-03352577-n	n	firetrap	a building that would be hard to escape from if it were to catch fire	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002420	oewn-03352826-n	n	firewall	a fireproof (or fire-resistant) wall designed to prevent the spread of fire through a building or a vehicle	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002421	oewn-03352988-n	n	firewall	(computing) a security system consisting of a combination of hardware and software that limits the exposure of a computer or computer network to attack from crackers; commonly used on local area netwo	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002422	oewn-03355726-n	n	fishery	a workplace where fish are caught and processed and sold	dul:Place	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002423	oewn-03355882-n	n	fish farm	a workplace (usually a pond) where fish are raised for food	dul:Place	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002424	oewn-03358127-n	n	fitment	any of the items furnishing or equipping a room (especially built-in furniture)	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002425	oewn-03365277-n	n	flatbed press	a printing press where the type is carried on a flat bed under a cylinder that holds paper and rolls over the type	dul:PhysicalAgent	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002426	oewn-03370438-n	n	floor	the inside lower horizontal surface (as of a room, hallway, tent, or other structure)	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	9.6	6		
D-002427	oewn-03370837-n	n	floor	a structure consisting of a room or set of rooms at a single position along a vertical scale	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	11.4	9		
D-002428	oewn-03371147-n	n	floor	a large room in a exchange where the trading is done	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002429	oewn-03371310-n	n	floor	the legislative hall where members debate and vote and conduct other business	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002430	oewn-03371993-n	n	floor plan	scale drawing of a horizontal section through a building at a given level; contrasts with elevation	dul:InformationRealization	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002431	oewn-03377906-n	n	fly	an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002432	oewn-03378261-n	n	fly gallery	a narrow raised platform at the side of a stage in a theater; stagehands can work the ropes controlling equipment in the flies	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002433	oewn-03382851-n	n	food court	an area (as in a shopping mall) where food is sold, usually around a common eating area, with multiple contiguous stalls	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002434	oewn-03387138-n	n	forecourt	the outer or front court of a building or of a group of buildings	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002435	oewn-03387379-n	n	fore edge	the part of a book that faces inward when the book is shelved; the part opposite the spine	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002436	oewn-03392352-n	n	foundation stone	a stone laid at a ceremony to mark the founding of a new building	dul:FunctionalSubstance	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002437	oewn-03400350-n	n	French window	a French door situated in an exterior wall of a building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002438	oewn-03404155-n	n	front door	exterior door (at the entrance) at the front of a building	dul:PhysicalPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002439	oewn-03404306-n	n	frontispiece	front illustration facing the title page of a book	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002440	oewn-03410021-n	n	furnace room	a room (usually in the basement of a building) that contains a furnace for heating the building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002441	oewn-03410175-n	n	furnishing	(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	144.0	230		
D-002442	oewn-03410635-n	n	furniture	furnishings that make a room or other area ready for occupancy	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	127.2	202		
D-002443	oewn-03416454-n	n	gallery	narrow recessed balcony area along an upper floor on the interior of a building; usually marked by a colonnade	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.8	3		
D-002444	oewn-03416672-n	n	gallery	a covered corridor (especially one extending along the wall of a building and supported with arches or columns)	dul:PhysicalPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002445	oewn-03416837-n	n	gallery	a long usually narrow room used for some specific purpose	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002446	oewn-03416968-n	n	gallery	a room or series of rooms where works of art are exhibited	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002447	oewn-03417130-n	n	galley	the area for food preparation on a ship	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002448	oewn-03417297-n	n	galley	the kitchen area for food preparation on an airliner	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002449	oewn-03418338-n	n	gambling house	a public building in which a variety of games of chance can be played (operated as a business)	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002450	oewn-03420659-n	n	gangway	a temporary passageway of planks (as over mud on a building site)	dul:PhysicalPlace	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002451	oewn-03421399-n	n	garage	an outbuilding (or part of a building) for housing automobiles	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002452	oewn-03423528-n	n	gargoyle	a spout that terminates in a grotesquely carved figure of a person or animal	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002453	oewn-03423924-n	n	garment	an article of clothing	dul:PhysicalObject	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	174.0	280		
D-002454	oewn-03427844-n	n	gas fitting	the fitting (pipes or valves or meters) that convey gas from the gas main to the gas fixtures of a building	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002455	oewn-03428134-n	n	gas furnace	a furnace that burns gas	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002456	oewn-03430235-n	n	gas oven	a cremation chamber fueled by gas	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002457	oewn-03431894-n	n	gas well	a well that yields or has yielded natural gas	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002458	oewn-03431994-n	n	gasworks	the workplace where coal gas is manufactured	dul:Place	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002459	oewn-03435328-n	n	gazebo	a small roofed building affording shade and rest	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002460	oewn-03443988-n	n	glassware	an article of tableware made of glass	dul:PhysicalObject	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	9.6	6		
D-002461	oewn-03447929-n	n	goalmouth	(sports) the area immediately in front of the goal	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002462	oewn-03451472-n	n	golf course	course consisting of a large landscaped area for playing golf	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002463	oewn-03454508-n	n	government building	a building that houses a branch of government	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	11.4	9		
D-002464	oewn-03457897-n	n	grandstand	a stand at a racecourse or stadium consisting of tiers with rows of individual seats that are under a protective roof	dul:Relation	propagated via phase1_propagated	dul:Person	own gloss suggests: person+relative-pronoun pattern	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002465	oewn-03461950-n	n	great hall	the principal hall in a castle or mansion; can be used for dining or entertainment	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002466	oewn-03462844-n	n	greenhouse	a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.2	2		
D-002467	oewn-03463060-n	n	greenroom	a backstage room in a theater where performers rest or have visitors	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002468	oewn-03467373-n	n	grotesque	art characterized by an incongruous mixture of parts of humans and animals interwoven with plants	dul:InformationRealization	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002469	oewn-03468313-n	n	ground floor	the floor of a building that is at or nearest to the level of the ground around the building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002470	oewn-03468493-n	n	ground plan	a floor plan for the ground level of a building	dul:InformationRealization	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002471	oewn-03468985-n	n	G-string	minimal clothing worn by stripteasers; a narrow strip of fabric that covers the pubic area, passes between the thighs, and is supported by a waistband	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002472	oewn-03469884-n	n	guardroom	a room used by soldiers on guard	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002473	oewn-03471771-n	n	guildhall	the hall of a guild or corporation	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.6	1		
D-002474	oewn-03480019-n	n	haft	the handle of a weapon or tool	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002475	oewn-03482635-n	n	half binding	book binding in which the spine and part of the sides are bound in one material and the rest in another	dul:PhysicalObject	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002476	oewn-03483990-n	n	hall	a large room for gatherings, receiving guests, or entertainment	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	10.2	7		
D-002477	oewn-03484349-n	n	Hall of Fame	a building containing trophies honoring famous people	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002478	oewn-03513245-n	n	heater	device that heats water or supplies warmth to a room	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	17.4	19		
D-002479	oewn-03514169-n	n	heating system	utility to warm a building	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	8.4	4		
D-002480	oewn-03514752-n	n	heat pump	apparatus that extracts heat from a liquid that is at a higher temperature than its surroundings; can be used to transfer heat from a reservoir outside in order to heat a building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002481	oewn-03522810-n	n	hideaway	an area where you can be alone	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002482	oewn-03524106-n	n	highlighter	a fluorescent marker used to mark important passages in a text	dul:DesignedArtifact	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002483	oewn-03524550-n	n	high-rise	tower consisting of a multistoried building of offices or apartments	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002484	oewn-03524837-n	n	high table	a dining table in a dining-hall raised on a platform; seats are reserved for distinguished persons	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002485	oewn-03535506-n	n	homolosine projection	an equal-area projection map of the globe; oceans are distorted in order to minimize the distortion of the continents	dul:InformationRealization	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002486	oewn-03535983-n	n	honkytonk	a cheap disreputable nightclub or dance hall	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002487	oewn-03546271-n	n	hospital room	a room in a hospital for the care of patients	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.8	3		
D-002488	oewn-03547513-n	n	hotel	a building where travelers can pay for lodging and meals and other services	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	15.0	15		
D-002489	oewn-03547785-n	n	hotel-casino	a building that houses both a hotel and a casino	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002490	oewn-03550330-n	n	house	a building in which something is sheltered or located	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	12.6	11		
D-002491	oewn-03556575-n	n	hydraulic press	press in which a force applied by a piston to a small area is transmitted through water to another piston having a large area	dul:PhysicalAgent	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002492	oewn-03560606-n	n	hypermarket	a huge supermarket (usually built on the outskirts of a town)	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002493	oewn-03561859-n	n	ice ax	an ax used by mountain climbers for cutting footholds in ice	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002494	oewn-03564711-n	n	Identikit	a likeness of a person's face constructed from descriptions given to police; uses a set of transparencies of various facial features that can be combined to build up a picture of the person sought	dul:InformationRealization	propagated via phase1_propagated	dul:Person	own gloss suggests: person+relative-pronoun pattern	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002495	oewn-03567588-n	n	immersion heater	a heating element that is immersed in the liquid that is to be heated (as in a hot-water tank)	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002496	oewn-03575144-n	n	infrastructure	the stock of basic facilities and capital equipment needed for the functioning of a country or area	dul:Right	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002497	oewn-03575860-n	n	ingredient	a component of a mixture or compound	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.8	3		
D-002498	oewn-03579706-n	n	institution	an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	23.4	29		
D-002499	oewn-03581786-n	n	intake	an opening through which fluid is admitted to a tube or container	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.2	2		
D-002500	oewn-03582481-n	n	integrator	a measuring instrument for measuring the area of an irregular plane figure	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002501	oewn-03583224-n	n	intercommunication system	a communication system linking different rooms within a building or ship etc	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.8	3		
D-002502	oewn-03584707-n	n	interior door	a door that closes off rooms within a building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	7.2	2		
D-002503	oewn-03586014-n	n	interphone	a telephonic intercommunication system linking different rooms in a building or ship etc	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
D-002504	oewn-03587827-n	n	invention	a creation (a new device or process) resulting from study and experimentation	dul:InformationRealization	propagated via phase1_propagated	dul:DesignedArtifact	own gloss suggests: artifact keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	6.0	0		
