oewn_id	dulplus_class	tier	provenance	primary_lemma	all_lemmas	gloss	hypernyms
oewn-00631688-v	dul:Process	propagated_from_hypernym	from oewn-00630153-v[tier1_derivation]	philosophize	philosophize|philosophise	reason philosophically	oewn-00630153-v
oewn-00631885-v	dul:Process	propagated_from_hypernym	from oewn-00630153-v[tier1_derivation]	brainstorm	brainstorm	try to solve a problem by thinking intensely about it	oewn-00630153-v
oewn-00632042-v	dul:Process	propagated_from_hypernym	from oewn-00630153-v[tier1_derivation]	chew over	chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate	reflect deeply on a subject	oewn-00630153-v
oewn-00632906-v	dul:Process	propagated_from_hypernym	from oewn-00632042-v[propagated_from_hypernym]	premeditate	premeditate	think or reflect beforehand or in advance	oewn-00632042-v
oewn-00633060-v	dul:Process	propagated_from_hypernym	from oewn-00632042-v[propagated_from_hypernym]	theologize	theologize|theologise	make theoretical speculations about theology or discuss theological subjects	oewn-00632042-v
oewn-00633253-v	dul:Process	propagated_from_hypernym	from oewn-00632042-v[propagated_from_hypernym]	introspect	introspect	reflect on one's own thoughts and feelings	oewn-00632042-v
oewn-00633399-v	dul:Action	propagated_from_hypernym	from oewn-00721658-v[propagated_from_hypernym]	think	think|opine|suppose|imagine|reckon|guess	expect, believe, or suppose	oewn-00721658-v
oewn-00633898-v	dul:Action	propagated_from_hypernym	from oewn-00721658-v[propagated_from_hypernym]	assume	assume|presume|take for granted	take to be the case or to be true; accept without verification or proof	oewn-00721658-v
oewn-00634289-v	dul:Process	propagated_from_hypernym	from oewn-00630153-v[tier1_derivation]	reason	reason	think logically	oewn-00630153-v
oewn-00634593-v	dul:Process	propagated_from_hypernym	from oewn-00634289-v[propagated_from_hypernym]	theorize	theorize	form or construct theories	oewn-00634289-v
oewn-00634756-v	dul:Process	propagated_from_hypernym	from oewn-00634289-v[propagated_from_hypernym]	theorize	theorize	construct a theory about	oewn-00634289-v
oewn-00634927-v	dul:Process	propagated_from_hypernym	from oewn-00634289-v[propagated_from_hypernym]	ratiocinate	ratiocinate	reason methodologically and logically	oewn-00634289-v
oewn-00635105-v	dul:Action	propagated_from_hypernym	from oewn-00721658-v[propagated_from_hypernym]	speculate	speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose	to believe especially on uncertain or tentative grounds	oewn-00721658-v
oewn-00635752-v	dul:Action	propagated_from_hypernym	from oewn-00635105-v[propagated_from_hypernym]	reconstruct	reconstruct|construct|retrace	reassemble mentally	oewn-00635105-v
oewn-00635948-v	dul:Action	propagated_from_hypernym	from oewn-00635752-v[propagated_from_hypernym]	etymologize	etymologize|etymologise	construct the history of words	oewn-00635752-v
oewn-00636134-v	dul:State	tier1_derivation	deriv→oewn-14403234-n(marker='the state of')|deriv→oewn-00163453-n(marker='the act of')	reason	reason|reason out|conclude	decide by reasoning; draw or come to a conclusion	oewn-00630153-v
oewn-00636568-v	dul:CognitiveState	tier3_cognitive_state_kw	gloss	solve	solve|work out|figure out|puzzle out|lick|work	find the solution to (a problem or question) or understand the meaning of	oewn-00590283-v
oewn-00637185-v	dul:CognitiveState	tier3_cognitive_state_kw	gloss	answer	answer|resolve	understand the meaning of	oewn-00636568-v
oewn-00637376-v	dul:Event	tier3_default_event	gloss	riddle	riddle	explain a riddle	oewn-00636568-v
oewn-00637456-v	dul:Event	tier3_default_event	gloss	cinch	cinch	get a grip on; get mastery of	oewn-00598780-v
oewn-00637566-v	dul:Event	tier3_default_event	gloss	strike	strike	arrive at after reckoning, deliberating, and weighing	oewn-00636568-v
oewn-00637723-v	dul:Event	tier3_default_event	gloss	guess	guess|infer	guess correctly; solve by guessing	oewn-00636568-v
oewn-00637941-v	dul:Event	tier3_default_event	gloss	answer	answer	give the correct answer or solution to	oewn-00636568-v
oewn-00638103-v	dul:State	propagated_from_hypernym	from oewn-00636134-v[tier1_derivation]	induce	induce	reason or establish by induction	oewn-00636134-v
oewn-00638236-v	dul:State	propagated_from_hypernym	from oewn-00636134-v[tier1_derivation]	deduce	deduce|infer|deduct|derive	reason by deduction; establish by deduction	oewn-00636134-v
oewn-00638550-v	dul:Action	propagated_from_hypernym	from oewn-01631641-v[tier1_derivation]	establish	establish|base|ground|found	use as a basis for; found on	oewn-01631641-v
oewn-00638777-v	dul:Action	propagated_from_hypernym	from oewn-00638550-v[propagated_from_hypernym]	build	build	found or ground	oewn-00638550-v
oewn-00638921-v	dul:Process	propagated_from_hypernym	from oewn-00634289-v[propagated_from_hypernym]	calculate	calculate|cipher|cypher|compute|work out|reckon|figure	make a mathematical calculation or computation	oewn-00634289-v
oewn-00639856-v	dul:Action	tier1_derivation	deriv→oewn-00390116-n(marker='the act of')|deriv→oewn-00390116-n(marker='the act of')	quantize	quantize|quantise	apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor	oewn-00638921-v
oewn-00640247-v	dul:State	tier3_gloss_starts_be	gloss	work out	work out	be calculated	oewn-02651091-v
oewn-00640385-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	extract	extract	calculate the root of a number	oewn-00638921-v
oewn-00640499-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	process	process	perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information	oewn-00638921-v
oewn-00640810-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	prorate	prorate	divide or assess proportionally	oewn-00638921-v
oewn-00640993-v	dul:State	propagated_from_hypernym	from oewn-02259066-v[propagated_from_hypernym]	prorate	prorate	make a proportional settlement or distribution	oewn-02259066-v
oewn-00641140-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	miscalculate	miscalculate|misestimate	calculate incorrectly	oewn-00638921-v
oewn-00641355-v	dul:Action	tier1_derivation	deriv→oewn-00871779-n(marker='the act of')	recalculate	recalculate	calculate anew	oewn-00638921-v
oewn-00641511-v	dul:State	propagated_from_hypernym	from oewn-02024442-v[propagated_from_hypernym]	get	get	reach by calculation	oewn-02024442-v
oewn-00641660-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	average	average|average out	compute the average of	oewn-00638921-v
oewn-00641798-v	dul:Process	propagated_from_hypernym	from oewn-00643334-v[propagated_from_hypernym]	square	square	raise to the second power	oewn-00643334-v
oewn-00641924-v	dul:Process	propagated_from_hypernym	from oewn-00643334-v[propagated_from_hypernym]	cube	cube	raise to the third power	oewn-00643334-v
oewn-00642047-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	factor	factor|factor in|factor out	resolve into factors	oewn-00638921-v
oewn-00642312-v	dul:Process	propagated_from_hypernym	from oewn-02170904-v[tier1_derivation]	factor	factor|factor in|factor out	consider as relevant when making a decision	oewn-02170904-v
oewn-00642490-v	dul:Action	tier2_indirect	peer=oewn-00642914-v(dul:Action)	add	add|add together	make an addition by combining numbers	oewn-00638921-v
oewn-00642800-v	dul:Action	propagated_from_hypernym	from oewn-00642490-v[tier2_indirect]	foot	foot|foot up	add a column of numbers	oewn-00642490-v
oewn-00642914-v	dul:Action	tier1_derivation	deriv→oewn-00361583-n(marker='the act of')|deriv→oewn-00361583-n(marker='the act of')	subtract	subtract|deduct|take off	make a subtraction	oewn-00638921-v
oewn-00643194-v	dul:Action	propagated_from_hypernym	from oewn-00642914-v[tier1_derivation]	carry back	carry back	deduct a loss or an unused credit from taxable income for a prior period	oewn-00642914-v
oewn-00643334-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	multiply	multiply	combine by multiplication	oewn-00638921-v
oewn-00643591-v	dul:Process	propagated_from_hypernym	from oewn-00643334-v[propagated_from_hypernym]	raise	raise	multiply (a number) by itself a specified number of times: 8 is 2 raised to the power 3	oewn-00643334-v
oewn-00643760-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	divide	divide|fraction	perform a division	oewn-00638921-v
oewn-00644019-v	dul:Process	propagated_from_hypernym	from oewn-00643760-v[propagated_from_hypernym]	halve	halve	divide by two; divide into halves	oewn-00643760-v
oewn-00644160-v	dul:Process	propagated_from_hypernym	from oewn-00643760-v[propagated_from_hypernym]	quarter	quarter	divide by four; divide into quarters	oewn-00643760-v
oewn-00644306-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	interpolate	interpolate|extrapolate	estimate the value of something based on known values	oewn-00638921-v
oewn-00644465-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	differentiate	differentiate	calculate a derivative; take the derivative	oewn-00638921-v
oewn-00644642-v	dul:Process	propagated_from_hypernym	from oewn-00638921-v[propagated_from_hypernym]	integrate	integrate	calculate the integral of; calculate by integration	oewn-00638921-v
oewn-00644859-v	dul:State	propagated_from_hypernym	from oewn-00078513-v[propagated_from_hypernym]	analyze	analyze|analyse|psychoanalyze|psychoanalyse	subject to psychoanalytic treatment	oewn-00078513-v
oewn-00645135-v	dul:Process	tier2_indirect	peer=oewn-00645728-v(dul:Process)	analyze	analyze|analyse|break down|dissect|take apart	make a mathematical, chemical, or grammatical analysis of; break down into components or essential features	oewn-02372362-v
oewn-00645572-v	dul:Process	propagated_from_hypernym	from oewn-00645135-v[tier2_indirect]	parse	parse	analyze syntactically by assigning a constituent structure to (a sentence)	oewn-00645135-v
oewn-00645728-v	dul:Process	tier1_derivation	deriv→oewn-13586582-n(marker='the process of')	synthesize	synthesize|synthesise	combine so as to form a more complex, product	oewn-00193830-v
oewn-00646092-v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	synthesize	synthesize	combine and form a synthesis	oewn-00109468-v
oewn-00646245-v	dul:Process	propagated_from_hypernym	from oewn-00692380-v[propagated_from_hypernym]	analyze	analyze|analyse|study|examine|canvass	consider in detail and subject to an analysis in order to discover essential features or meaning	oewn-00692380-v
oewn-00646894-v	dul:Process	propagated_from_hypernym	from oewn-00646245-v[propagated_from_hypernym]	anatomize	anatomize	analyze down to the smallest detail	oewn-00646245-v
oewn-00647068-v	dul:Process	propagated_from_hypernym	from oewn-00645135-v[tier2_indirect]	botanize	botanize|botanise	collect and study plants	oewn-00645135-v
oewn-00647205-v	dul:Process	propagated_from_hypernym	from oewn-00646245-v[propagated_from_hypernym]	diagnose	diagnose|name	determine or distinguish the nature of a problem or an illness through a diagnostic analysis	oewn-00646245-v
oewn-00647424-v	dul:Process	propagated_from_hypernym	from oewn-00646245-v[propagated_from_hypernym]	diagnose	diagnose	subject to a medical analysis	oewn-00646245-v
oewn-00647592-v	dul:Process	propagated_from_hypernym	from oewn-00647424-v[propagated_from_hypernym]	explore	explore	examine (organs) for diagnostic purposes	oewn-00647424-v
oewn-00647788-v	dul:Process	propagated_from_hypernym	from oewn-00647592-v[propagated_from_hypernym]	put out feelers	put out feelers	make some preliminary investigations or test the waters	oewn-00647592-v
oewn-00647924-v	dul:Process	propagated_from_hypernym	from oewn-00647205-v[propagated_from_hypernym]	explore	explore	inquire into a subject in detail	oewn-00647205-v
oewn-00648095-v	dul:Process	propagated_from_hypernym	from oewn-00647924-v[propagated_from_hypernym]	plumb	plumb	examine thoroughly and in great depth	oewn-00647924-v
oewn-00648195-v	dul:Process	propagated_from_hypernym	from oewn-00646245-v[propagated_from_hypernym]	survey	survey|appraise	consider in a comprehensive way	oewn-00646245-v
oewn-00648391-v	dul:Action	tier1_derivation	deriv→oewn-00883327-n(marker='the act of')	survey	survey	plot a map of (land)	oewn-00638921-v
oewn-00648565-v	dul:Action	propagated_from_hypernym	from oewn-00648391-v[tier1_derivation]	triangulate	triangulate	survey by triangulation	oewn-00648391-v
oewn-00648747-v	dul:Action	propagated_from_hypernym	from oewn-00699355-v[tier1_derivation]	measure	measure|mensurate|measure out	determine the measurements of something or somebody, take measurements of	oewn-00699355-v
oewn-00649161-v	dul:Action	propagated_from_hypernym	from oewn-00648747-v[propagated_from_hypernym]	shoot	shoot	measure the altitude of by using a sextant	oewn-00648747-v
oewn-00649282-v	dul:Action	propagated_from_hypernym	from oewn-00648747-v[propagated_from_hypernym]	triangulate	triangulate	measure by using trigonometry	oewn-00648747-v
oewn-00649423-v	dul:Action	propagated_from_hypernym	from oewn-00648747-v[propagated_from_hypernym]	caliper	caliper|calliper	measure the diameter of something with calipers	oewn-00648747-v
oewn-00649582-v	dul:Process	propagated_from_hypernym	from oewn-00646245-v[propagated_from_hypernym]	survey	survey	make a survey of; for statistical purposes	oewn-00646245-v
oewn-00649724-v	dul:Process	propagated_from_hypernym	from oewn-00649877-v[propagated_from_hypernym]	prospect	prospect	explore for useful or valuable things or substances, such as minerals	oewn-00649877-v
oewn-00649877-v	dul:Process	propagated_from_hypernym	from oewn-00790800-v[propagated_from_hypernym]	research	research|search|explore	inquire into	oewn-00790800-v
oewn-00650417-v	dul:Process	propagated_from_hypernym	from oewn-00649877-v[propagated_from_hypernym]	google	google	search the internet (for information) using the Google search engine	oewn-00649877-v
oewn-00650686-v	dul:Process	propagated_from_hypernym	from oewn-00649877-v[propagated_from_hypernym]	mapquest	mapquest	search for a location and directions by means of the MapQuest program	oewn-00649877-v
oewn-00650898-v	dul:Process	propagated_from_hypernym	from oewn-00649877-v[propagated_from_hypernym]	re-explore	re-explore	explore anew	oewn-00649877-v
oewn-00651015-v	dul:Process	propagated_from_hypernym	from oewn-00649877-v[propagated_from_hypernym]	cast about	cast about|beat about|cast around	search anxiously	oewn-00649877-v
oewn-00651134-v	dul:Process	propagated_from_hypernym	from oewn-00790800-v[propagated_from_hypernym]	explore	explore	travel to or penetrate into	oewn-00790800-v
oewn-00651410-v	dul:Process	propagated_from_hypernym	from oewn-00651134-v[propagated_from_hypernym]	pioneer	pioneer	open up and explore a new area	oewn-00651134-v
oewn-00651540-v	dul:Process	propagated_from_hypernym	from oewn-00651134-v[propagated_from_hypernym]	cave	cave|spelunk	explore natural caves	oewn-00651134-v
oewn-00651669-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	discriminate	discriminate|know apart	recognize or perceive the difference	oewn-00652006-v
oewn-00651886-v	dul:Process	propagated_from_hypernym	from oewn-00651669-v[propagated_from_hypernym]	subtilize	subtilize	mark fine distinctions and subtleties, as among words	oewn-00651669-v
oewn-00652006-v	dul:Process	propagated_from_hypernym	from oewn-00620568-v[tier1_derivation]	distinguish	distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart	mark as different	oewn-00620568-v
oewn-00652603-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	label	label	distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions	oewn-00652006-v
oewn-00652816-v	dul:State	propagated_from_hypernym	from oewn-00719282-v[propagated_from_hypernym]	treat	treat	regard or consider in a specific way	oewn-00719282-v
oewn-00652969-v	dul:State	propagated_from_hypernym	from oewn-00719282-v[propagated_from_hypernym]	bristle	bristle	react in an offended or angry manner	oewn-00719282-v
oewn-00653151-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	label	label	distinguish (as a compound or molecule) by introducing a labeled atom	oewn-00652006-v
oewn-00653301-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	sex	sex	tell the sex (of young chickens)	oewn-00652006-v
oewn-00653430-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	individualize	individualize|individualise	make or mark or treat as individual	oewn-00652006-v
oewn-00653662-v	dul:Action	propagated_from_hypernym	from oewn-00958719-v[tier1_derivation]	distinguish	distinguish|mark|differentiate	be a distinctive feature, attribute, or trait; sometimes in a very positive sense	oewn-00958719-v
oewn-00654017-v	dul:Action	tier1_derivation	deriv→oewn-00152838-n(marker='the act of')	identify	identify|discover|key|key out|distinguish|describe|name	identify as in botany or biology, for example	oewn-00701581-v
oewn-00654293-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	catalogue	catalogue|catalog	make an itemized list or catalog of; classify	oewn-00656296-v
oewn-00654571-v	dul:Action	tier1_derivation	deriv→oewn-00143485-n(marker='the act of')|deriv→oewn-00143485-n(marker='the act of')	compare	compare	examine and note the similarities or differences of	oewn-00646245-v
oewn-00654954-v	dul:Action	propagated_from_hypernym	from oewn-00654571-v[tier1_derivation]	analogize	analogize|analogise	make an analogy	oewn-00654571-v
oewn-00655120-v	dul:State	propagated_from_hypernym	from oewn-00636134-v[tier1_derivation]	syllogize	syllogize|syllogise	reason by syllogisms	oewn-00636134-v
oewn-00655291-v	dul:Action	tier1_derivation	deriv→oewn-00186156-n(marker='the act of')|deriv→oewn-00186156-n(marker='the act of')|deriv→oewn-00143485-n(marker='the act of')	compare	compare|liken|equate	consider or describe as similar, equal, or analogous	oewn-02170904-v
oewn-00655686-v	dul:Process	propagated_from_hypernym	from oewn-00692380-v[propagated_from_hypernym]	reconsider	reconsider	consider again; give new consideration to; usually with a view to changing	oewn-00692380-v
oewn-00655929-v	dul:Process	propagated_from_hypernym	from oewn-00692380-v[propagated_from_hypernym]	reconsider	reconsider	consider again (a bill) that had been voted upon before, with a view to altering it	oewn-00692380-v
oewn-00656117-v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	come round	come round|come around	change one's position or opinion	oewn-00109468-v
oewn-00656296-v	dul:Action	tier1_derivation	deriv→oewn-01014654-n(marker='the act of')|deriv→oewn-01014654-n(marker='the act of')	classify	classify|class|sort|assort|sort out|separate	arrange or order by classes or categories	oewn-00658931-v
oewn-00657049-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	isolate	isolate	separate (experiences) from the emotions relating to them	oewn-00656296-v
oewn-00657226-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	refer	refer	think of, regard, or classify under a subsuming principle or with a general group or in relation to another	oewn-00656296-v
oewn-00657463-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	reclassify	reclassify	classify anew, change the previous classification	oewn-00656296-v
oewn-00657658-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	size	size	sort according to size	oewn-00656296-v
oewn-00657778-v	dul:Action	tier1_derivation	deriv→oewn-00389943-n(marker='the act of')|deriv→oewn-00389943-n(marker='the act of')	dichotomize	dichotomize|dichotomise	divide into two opposing groups or kinds	oewn-00656296-v
oewn-00657963-v	dul:Action	propagated_from_hypernym	from oewn-00656296-v[tier1_derivation]	pigeonhole	pigeonhole|stereotype|stamp	treat or classify according to a mental stereotype	oewn-00656296-v
oewn-00658247-v	dul:Action	tier1_derivation	deriv→oewn-01014302-n(marker='the activity of')	group	group	arrange into a group or groups	oewn-00656296-v
oewn-00658496-v	dul:Action	propagated_from_hypernym	from oewn-00658247-v[tier1_derivation]	regroup	regroup	reorganize into new groups	oewn-00658247-v
oewn-00658587-v	dul:Action	propagated_from_hypernym	from oewn-00658247-v[tier1_derivation]	bracket	bracket	classify or group	oewn-00658247-v
oewn-00658687-v	dul:Action	tier1_derivation	deriv→oewn-01053725-n(marker='the act of')	collocate	collocate|lump|chunk	group or chunk together in a certain order or place side by side	oewn-00658247-v
oewn-00658931-v	dul:Action	tier1_derivation	deriv→oewn-01014654-n(marker='the act of')	categorize	categorize|categorise	place into or assign to a category	oewn-00634289-v
oewn-00659221-v	dul:Action	tier1_derivation	deriv→oewn-01005671-n(marker='the act of')	grade	grade	determine the grade of or assign a grade to	oewn-00656296-v
oewn-00659399-v	dul:Action	tier1_derivation	deriv→oewn-01005671-n(marker='the act of')	grade	grade|score|mark	assign a grade or rank to, according to one's evaluation	oewn-00683348-v
oewn-00659723-v	dul:Action	tier1_derivation	deriv→oewn-01005671-n(marker='the act of')|deriv→oewn-01011813-n(marker='the act of')|deriv→oewn-01012276-n(marker='the act of')	rate	rate|rank|range|order|grade|place	assign a rank or rating to	oewn-00672179-v
oewn-00660290-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	superordinate	superordinate	place in a superior order or rank	oewn-00659723-v
oewn-00660469-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	shortlist	shortlist	put someone or something on a short list	oewn-00659723-v
oewn-00660584-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	seed	seed	distribute (players or teams) so that outstanding teams or players will not meet in the early rounds	oewn-00659723-v
oewn-00660783-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	reorder	reorder	assign a new order to	oewn-00659723-v
oewn-00660931-v	dul:Action	propagated_from_hypernym	from oewn-00660783-v[propagated_from_hypernym]	countermarch	countermarch	change the order of soldiers during a march	oewn-00660783-v
oewn-00661044-v	dul:State	propagated_from_hypernym	from oewn-00661206-v[tier1_derivation]	outclass	outclass	cause to appear in a lower class	oewn-00661206-v
oewn-00661206-v	dul:State	tier1_derivation	deriv→oewn-14025337-n(marker='the state of')	subordinate	subordinate	rank or order as less important or consider of less value	oewn-00659723-v
oewn-00661447-v	dul:Event	tier3_default_event	gloss	place	place|come in|come out	take a place in a competition; often followed by an ordinal	oewn-00661773-v
oewn-00661655-v	dul:Event	tier3_default_event	gloss	come	come	have a certain priority	oewn-00661773-v
oewn-00661773-v	dul:Event	tier3_default_event	gloss	rank	rank	take or have a position relative to others	oewn-02661230-v
oewn-00662052-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	prioritize	prioritize|prioritise	assign a priority to	oewn-00659723-v
oewn-00662242-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	sequence	sequence	arrange in a sequence	oewn-00659723-v
oewn-00662401-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	downgrade	downgrade	rate lower; lower in value or esteem	oewn-00659723-v
oewn-00662522-v	dul:Action	propagated_from_hypernym	from oewn-00659723-v[tier1_derivation]	upgrade	upgrade	rate higher; raise in value or esteem	oewn-00659723-v
oewn-00662642-v	dul:Action	propagated_from_hypernym	from oewn-00683348-v[propagated_from_hypernym]	rate	rate|value	estimate the value of	oewn-00683348-v
oewn-00662884-v	dul:Action	tier1_derivation	deriv→oewn-00653056-n(marker='the act of')	contrast	contrast	put in opposition to show or emphasize differences	oewn-00652006-v
oewn-00663151-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	have the distinction	have the distinction	be distinguished from others of a similar type by virtue of a notable characteristic	oewn-00652006-v
oewn-00663398-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	severalize	severalize|severalise	distinguish or separate	oewn-00652006-v
oewn-00663502-v	dul:Process	propagated_from_hypernym	from oewn-00652006-v[propagated_from_hypernym]	contradistinguish	contradistinguish	distinguish by contrasting qualities	oewn-00652006-v
oewn-00663631-v	dul:Action	propagated_from_hypernym	from oewn-00654571-v[tier1_derivation]	collate	collate	compare critically; of texts	oewn-00654571-v
oewn-00663742-v	dul:Action	tier1_derivation	deriv→oewn-00142626-n(marker='the act of')|deriv→oewn-00142626-n(marker='the act of')	check	check|check up on|look into|check out|suss out|check over|go over|check into	examine so as to determine accuracy, quality, or condition	oewn-00646245-v
oewn-00664100-v	dul:Action	propagated_from_hypernym	from oewn-00666401-v[propagated_from_hypernym]	check	check|check off|mark|mark off|tick off|tick	put a check mark on or near or next to	oewn-00666401-v
oewn-00664403-v	dul:Action	propagated_from_hypernym	from oewn-00664100-v[propagated_from_hypernym]	receipt	receipt	mark or stamp as paid	oewn-00664100-v
oewn-00664507-v	dul:Action	tier1_derivation	deriv→oewn-00142626-n(marker='the act of')	see	see|check|insure|see to it|ensure|control|ascertain|assure	be careful or certain to do something; make certain of something	oewn-00666401-v
oewn-00665078-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	control	control	verify by using a duplicate register for comparison	oewn-00664507-v
oewn-00665271-v	dul:Action	tier1_derivation	deriv→oewn-00142626-n(marker='the act of')	check	check	verify by consulting a source or authority	oewn-00666401-v
oewn-00665467-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	double-check	double-check	check once more to be absolutely sure	oewn-00664507-v
oewn-00665600-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	cross-check	cross-check	check out conflicting sources; crosscheck facts, for example	oewn-00664507-v
oewn-00665737-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	cinch	cinch	make sure of	oewn-00664507-v
oewn-00665812-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	card	card	ask someone for identification to determine whether he or she is old enough to consume liquor	oewn-00664507-v
oewn-00666029-v	dul:Action	propagated_from_hypernym	from oewn-00664507-v[tier1_derivation]	spot-check	spot-check	pick out random samples for examination in order to ensure high quality	oewn-00664507-v
oewn-00666194-v	dul:Action	propagated_from_hypernym	from oewn-00822637-v[propagated_from_hypernym]	authenticate	authenticate	establish the authenticity of something	oewn-00822637-v
oewn-00666401-v	dul:Action	propagated_from_hypernym	from oewn-00667804-v[tier1_derivation]	verify	verify	confirm the truth of	oewn-00667804-v
oewn-00666706-v	dul:Action	propagated_from_hypernym	from oewn-00667804-v[tier1_derivation]	prove	prove|demonstrate|establish|show|shew	establish the validity of something, as by an example, explanation or experiment	oewn-00667804-v
oewn-00667153-v	dul:Action	propagated_from_hypernym	from oewn-00666706-v[propagated_from_hypernym]	prove oneself	prove oneself	show one's ability or courage	oewn-00666706-v
oewn-00667253-v	dul:Action	propagated_from_hypernym	from oewn-00669342-v[propagated_from_hypernym]	explode	explode	show (a theory or claim) to be baseless, or refute and make obsolete	oewn-00669342-v
oewn-00667394-v	dul:Action	propagated_from_hypernym	from oewn-01620211-v[propagated_from_hypernym]	lay down	lay down|establish|make	institute, enact, or establish	oewn-01620211-v
oewn-00667548-v	dul:Action	propagated_from_hypernym	from oewn-00666706-v[propagated_from_hypernym]	prove	prove	prove formally; demonstrate by a mathematical, formal proof	oewn-00666706-v
oewn-00667689-v	dul:Action	propagated_from_hypernym	from oewn-00666194-v[propagated_from_hypernym]	prove	prove	obtain probate of	oewn-00666194-v
oewn-00667804-v	dul:Action	tier1_derivation	deriv→oewn-00154781-n(marker='the act of')	confirm	confirm|corroborate|sustain|substantiate|support|affirm	establish or strengthen as with new evidence or facts	oewn-02372362-v
oewn-00668428-v	dul:Action	propagated_from_hypernym	from oewn-00667804-v[tier1_derivation]	document	document	support or supply with references	oewn-00667804-v
oewn-00668640-v	dul:Action	propagated_from_hypernym	from oewn-00668428-v[propagated_from_hypernym]	source	source	specify the origin of	oewn-00668428-v
oewn-00668804-v	dul:Action	tier2_indirect	peer=oewn-00667804-v(dul:Action)	negate	negate|contradict	prove negative; show to be false	oewn-00666706-v
oewn-00669020-v	dul:Action	tier2_indirect	peer=oewn-00669142-v(dul:Action)	invalidate	invalidate|nullify	show to be invalid	oewn-00668804-v
oewn-00669142-v	dul:Action	tier1_derivation	deriv→oewn-00154781-n(marker='the act of')	validate	validate	prove valid; show or confirm the validity of something	oewn-00667804-v
oewn-00669342-v	dul:Action	propagated_from_hypernym	from oewn-00668804-v[tier2_indirect]	disprove	disprove|confute	prove to be false	oewn-00668804-v
oewn-00669665-v	dul:Action	tier1_derivation	deriv→oewn-00156118-n(marker='the act of')	refute	refute|rebut|controvert	prove to be false or incorrect	oewn-00669342-v
oewn-00669860-v	dul:State	tier1_derivation	deriv→oewn-13983750-n(marker='the state of')|deriv→oewn-00156118-n(marker='the act of')	falsify	falsify	prove false	oewn-00669342-v
