oewn_id	pos	dulplus_class	rule	rationale	primary_lemma	all_lemmas	gloss	pertainym_lemmas
oewn-00309286-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309153-a	attended	attended|tended to	having a caretaker or other watcher	
oewn-00309299-r	r	dul:Region	R1_adv_manner	manner adverb	deferentially	deferentially	in a respectfully deferential manner	deferent
oewn-00309391-a	a	dul:Quality	A5_adj_head_default	adj.all head default	uncared-for	uncared-for	lacking needed care and attention	
oewn-00309424-r	r	dul:Region	R1_adv_manner	manner adverb	deferentially	deferentially|submissively	in a servile manner	deferent,slavish
oewn-00309518-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309391-a	neglected	neglected|unattended	lacking a caretaker	
oewn-00309593-r	r	dul:Region	R7_adv_default	adverb default (quality region)	deliriously	deliriously	as if in a delirium	delirious
oewn-00309668-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309391-a	untended	untended	lacking care and attention	
oewn-00309700-r	r	dul:Region	R1_adv_manner	manner adverb	deliriously	deliriously	in a delirious manner	delirious
oewn-00309819-a	a	dul:Quality	A5_adj_head_default	adj.all head default	careful	careful	exercising caution or showing care or attention	
oewn-00309820-r	r	dul:Region	R7_adv_default	adverb default (quality region)	delusively	delusively	in a deceptive and unrealistic manner	delusive
oewn-00309952-r	r	dul:Region	R7_adv_default	adverb default (quality region)	demonstrably	demonstrably|provably|incontrovertibly	in an obvious and provable manner	demonstrable,demonstrable,demonstrable
oewn-00310160-r	r	dul:Region	R7_adv_default	adverb default (quality region)	desolately	desolately|disconsolately	in grief-stricken loneliness; without comforting circumstances or prospects	inconsolable
oewn-00310309-r	r	dul:Region	R7_adv_default	adverb default (quality region)	diabolically	diabolically|devilishly|fiendishly	as a devil; in an evil manner	devilish,demonic,demonic
oewn-00310418-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	blow-by-blow	blow-by-blow	providing great detail	
oewn-00310504-r	r	dul:Region	R1_adv_manner	manner adverb	diffidently	diffidently	in a diffident manner	diffident
oewn-00310538-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	certain	certain|sure	exercising or taking care great enough to bring assurance	
oewn-00310642-r	r	dul:Region	R1_adv_manner	manner adverb	despicably	despicably	in a despicable manner	despicable
oewn-00310743-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	close	close	rigorously attentive; strict and thorough	
oewn-00310744-r	r	dul:Region	R1_adv_manner	manner adverb	despitefully	despitefully|spitefully	in a maliciously spiteful manner	despiteful,despiteful
oewn-00310908-r	r	dul:Region	R1_adv_manner	manner adverb	destructively	destructively	in a destructive manner	destructive
oewn-00310936-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	conscientious	conscientious|painstaking|scrupulous	characterized by extreme care and great effort	
oewn-00311025-r	r	dul:Region	R7_adv_default	adverb default (quality region)	detestably	detestably|repulsively|abominably|odiously	in an offensive and hateful manner	abominable,abhorrent,abominable,abhorrent
oewn-00311231-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	detailed	detailed|elaborate|elaborated	developed or executed with care and in minute detail	
oewn-00311268-r	r	dul:Region	R1_adv_manner	manner adverb	detrimentally	detrimentally|harmfully|noxiously	in a detrimental manner	damaging,harmful,noxious
oewn-00311429-r	r	dul:Region	R1_adv_manner	manner adverb	harmlessly	harmlessly	in a harmless manner	harmless
oewn-00311514-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	minute	minute|narrow	characterized by painstaking care and detailed examination	
oewn-00311562-r	r	dul:Region	R1_adv_manner	manner adverb	deviously	deviously	in a devious manner	devious
oewn-00311683-r	r	dul:Region	R7_adv_default	adverb default (quality region)	devotedly	devotedly	with devotion	devoted
oewn-00311741-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	overcareful	overcareful|too-careful	excessively or unduly careful	
oewn-00311786-r	r	dul:Region	R7_adv_default	adverb default (quality region)	devoutly	devoutly|piously	in a devout and pious manner	devout,pious
oewn-00311842-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	particular	particular	providing specific details or circumstances	
oewn-00311926-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dexterously	dexterously|dextrously|deftly	with dexterity; in a dexterous manner	deft,deft,deft
oewn-00311985-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	protective	protective	(usually followed by ‘of’) solicitously caring or mindful	
oewn-00312113-r	r	dul:Region	R1_adv_manner	manner adverb	diagonally	diagonally	in a diagonal manner	diagonal
oewn-00312152-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	studious	studious	marked by care and effort	
oewn-00312240-r	r	dul:Region	R1_adv_manner	manner adverb	diagrammatically	diagrammatically|graphically	in a diagrammatic manner	diagrammatic
oewn-00312303-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00309819-a	thorough	thorough	painstakingly careful and accurate	
oewn-00312450-r	r	dul:Region	R7_adv_default	adverb default (quality region)	diametrically	diametrically	as from opposite ends of a diameter	diametric
oewn-00312461-a	a	dul:Quality	A5_adj_head_default	adj.all head default	careless	careless	marked by lack of attention or consideration or forethought or thoroughness; not careful	
oewn-00312823-r	r	dul:Region	R1_adv_manner	manner adverb	dictatorially	dictatorially|autocratically|magisterially	in an overbearingly domineering manner; as a dictator	autocratic,authoritarian
oewn-00313032-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00312461-a	casual	casual|cursory|passing|perfunctory|superficial	hasty and without attention to detail; not thorough	
oewn-00313044-r	r	dul:Region	R1_adv_manner	manner adverb	didactically	didactically|pedagogically	in a didactic manner	didactic,pedagogical
oewn-00313196-r	r	dul:Region	R1_adv_manner	manner adverb	differentially	differentially	in a differential manner	differential
oewn-00313416-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00312461-a	haphazard	haphazard|slapdash|slipshod|sloppy	marked by great carelessness	
oewn-00313420-r	r	dul:Region	R7_adv_default	adverb default (quality region)	diligently	diligently	with diligence; in a diligent manner	diligent
oewn-00313645-r	r	dul:Region	R1_adv_manner	manner adverb	direfully	direfully	in a direful manner	awful
oewn-00313654-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00312461-a	heedless	heedless|reckless	characterized by careless unconcern	
oewn-00313770-r	r	dul:Region	R1_adv_manner	manner adverb	dirtily	dirtily|filthily	in a filthy unclean manner	dirty,filthy
oewn-00313913-r	r	dul:Region	R1_adv_manner	manner adverb	dirtily	dirtily	in a sordid manner	
oewn-00313938-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00312461-a	incautious	incautious	carelessly failing to exercise proper caution	
oewn-00313996-r	r	dul:Region	R1_adv_manner	manner adverb	disagreeably	disagreeably	in a disagreeable manner	disagreeable
oewn-00314114-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00312461-a	offhand	offhand|offhanded	casually thoughtless or inconsiderate	
oewn-00314168-r	r	dul:Region	R7_adv_default	adverb default (quality region)	disappointedly	disappointedly	in disappointment; in a disappointed manner	defeated
oewn-00314284-a	a	dul:Quality	A5_adj_head_default	adj.all head default	carnivorous	carnivorous	(used of plants as well as animals) feeding on animals	
oewn-00314318-r	r	dul:Region	R1_adv_manner	manner adverb	disappointingly	disappointingly	in a disappointing manner	disappointing
oewn-00314485-r	r	dul:Region	R1_adv_manner	manner adverb	disastrously	disastrously	in a disastrous manner	black
oewn-00314598-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314284-a	flesh-eating	flesh-eating|meat-eating|zoophagous	(of animals) carnivorous	
oewn-00314656-r	r	dul:Region	R7_adv_default	adverb default (quality region)	disconcertingly	disconcertingly	in a disturbing or embarrassing manner	disconcerting
oewn-00314733-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314284-a	piscivorous	piscivorous	feeding on fishes	
oewn-00314808-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314284-a	predacious	predacious|predaceous	hunting and killing other animals for food	
oewn-00314829-r	r	dul:Region	R7_adv_default	adverb default (quality region)	discontentedly	discontentedly	with discontent; in a discontented manner	discontented
oewn-00314920-a	a	dul:Quality	A5_adj_head_default	adj.all head default	herbivorous	herbivorous	feeding only on plants	
oewn-00315026-r	r	dul:Region	R1_adv_manner	manner adverb	disgracefully	disgracefully|ingloriously|ignominiously|discreditably|shamefully|dishonorably|dishonourably	in a dishonorable manner or to a dishonorable degree	discreditable,black,dishonorable,dishonorable,black,black,black
oewn-00315162-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	anthophagous	anthophagous|anthophilous	feeding on flowers	
oewn-00315287-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	baccivorous	baccivorous	feeding on berries	
oewn-00315363-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	carpophagous	carpophagous|fruit-eating	feeding on fruit	
oewn-00315374-r	r	dul:Region	R7_adv_default	adverb default (quality region)	disgustedly	disgustedly	with disgust	disgusted
oewn-00315456-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	grass-eating	grass-eating	feeding on grasses	
oewn-00315534-r	r	dul:Region	R1_adv_manner	manner adverb	disgustingly	disgustingly|distastefully|revoltingly|sickeningly	in a disgusting manner or to a disgusting degree	disgusting,disgusting,disgusting,nauseating
oewn-00315536-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	plant-eating	plant-eating|phytophagic|phytophagous|phytophilous	(of animals) feeding on plants	
oewn-00315691-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	saprophagous	saprophagous|saprozoic	(of certain animals) feeding on dead or decaying animal matter	
oewn-00315777-r	r	dul:Region	R1_adv_manner	manner adverb	honestly	honestly|aboveboard	in an honest manner	honest
oewn-00315824-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00314920-a	saprophytic	saprophytic	(of some plants or fungi) feeding on dead or decaying organic matter	
oewn-00315990-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dishonestly	dishonestly|venally|deceitfully	in a corrupt and deceitful manner	ambidextrous,dishonest,corruptible
oewn-00316006-a	a	dul:Quality	A5_adj_head_default	adj.all head default	omnivorous	omnivorous	feeding on both plants and animals	
oewn-00316151-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00316006-a	all-devouring	all-devouring	(of animals) both plant-eating and flesh-eating	
oewn-00316228-r	r	dul:Region	R7_adv_default	adverb default (quality region)	honestly	honestly|candidly|frankly	(used as intensives reflecting the speaker's attitude) it is sincerely the case that	blunt,blunt,honest
oewn-00316280-a	a	dul:Quality	A5_adj_head_default	adj.all head default	insectivorous	insectivorous	(of animals and plants) feeding on insects	
oewn-00316528-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00316280-a	apivorous	apivorous	feeding on bees	
oewn-00316567-r	r	dul:Region	R1_adv_manner	manner adverb	hypocritically	hypocritically	in a hypocritical manner	hypocritical
oewn-00316599-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00316280-a	myrmecophagous	myrmecophagous	feeding on ants	
oewn-00316702-a	a	dul:Quality	A5_adj_head_default	adj.all head default	holozoic	holozoic	obtaining nourishment as animals do by ingesting complex organic matter	
oewn-00316726-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dishonorably	dishonorably	with dishonor	dishonorable
oewn-00316828-a	a	dul:Quality	A5_adj_head_default	adj.all head default	holophytic	holophytic	obtaining nourishment as green plants do	
oewn-00316850-r	r	dul:Region	R7_adv_default	adverb default (quality region)	honorably	honorably|honourably	with honor	
oewn-00316943-a	a	dul:Quality	A5_adj_head_default	adj.all head default	carpellate	carpellate|pistillate	bearing or consisting of carpels	
oewn-00316988-r	r	dul:Region	R1_adv_manner	manner adverb	disingenuously	disingenuously|artfully	in a disingenuous manner	disingenuous,disingenuous
oewn-00317064-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acarpelous	acarpelous|acarpellous	having no carpels	
oewn-00317171-a	a	dul:Quality	A5_adj_head_default	adj.all head default	carpeted	carpeted	covered with or as if with carpeting or with carpeting as specified; often used in combination	
oewn-00317174-r	r	dul:Region	R7_adv_default	adverb default (quality region)	disinterestedly	disinterestedly	without bias; without selfish motives	disinterested
oewn-00317312-r	r	dul:Region	R1_adv_manner	manner adverb	disjointedly	disjointedly	in a disjointed manner	confused
oewn-00317374-a	a	dul:Quality	A5_adj_head_default	adj.all head default	uncarpeted	uncarpeted	not carpeted	
oewn-00317469-a	a	dul:Quality	A5_adj_head_default	adj.all head default	carvel-built	carvel-built	(of ships) built with flush (rather than overlapping) hull planks	
oewn-00317497-r	r	dul:Region	R7_adv_default	adverb default (quality region)	loyally	loyally	with loyalty; in a loyal manner	loyal
oewn-00317630-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00317469-a	flush-seamed	flush-seamed	laid edge to edge (not overlapping)	
oewn-00317712-r	r	dul:Region	R7_adv_default	adverb default (quality region)	disloyally	disloyally	without loyalty; in a disloyal manner	disloyal
oewn-00317724-a	a	dul:Quality	A5_adj_head_default	adj.all head default	clinker-built	clinker-built|clincher-built|lap-strake|lap-straked|lap-streak|lap-streaked	having overlapping hull planks	
oewn-00317880-r	r	dul:Region	R1_adv_manner	manner adverb	dismally	dismally|dreadfully	in a dreadful manner	atrocious
oewn-00317905-a	a	dul:Quality	A5_adj_head_default	adj.all head default	carved	carved|carven	made for or formed by carving (‘carven’ is archaic or literary)	
oewn-00318128-r	r	dul:Region	R1_adv_manner	manner adverb	dismally	dismally|drearily	in a cheerless manner	blue,blue
oewn-00318207-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00317905-a	engraved	engraved|etched|graven|incised|inscribed	cut or impressed into a surface	
oewn-00318378-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00317905-a	graven	graven|sculpted|sculptured	cut into a desired shape	
oewn-00318413-r	r	dul:Region	R1_adv_manner	manner adverb	obediently	obediently|yieldingly	in an obedient manner	obedient,yielding
oewn-00318526-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00317905-a	lapidarian	lapidarian	inscribed on stone	
oewn-00318598-r	r	dul:Region	R1_adv_manner	manner adverb	disobediently	disobediently	in a disobedient manner	disobedient
oewn-00318624-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00317905-a	sliced	sliced	(used of meat) cut into pieces for serving	
oewn-00318719-a	a	dul:Quality	A5_adj_head_default	adj.all head default	uncarved	uncarved	not carved	
oewn-00318783-r	r	dul:Region	R1_adv_manner	manner adverb	dispassionately	dispassionately	in an impartially dispassionate manner	dispassionate
oewn-00318784-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acatalectic	acatalectic	(verse) metrically complete; especially having the full number of syllables in the final metrical foot	
oewn-00318955-r	r	dul:Region	R1_adv_manner	manner adverb	disparagingly	disparagingly|slightingly	in a disparaging manner	derogative,belittling
oewn-00318980-a	a	dul:Quality	A5_adj_head_default	adj.all head default	catalectic	catalectic	(verse) metrically incomplete; especially lacking one or more syllables in the final metrical foot	
oewn-00319159-r	r	dul:Region	R1_adv_manner	manner adverb	dispiritedly	dispiritedly|hopelessly	in a dispirited manner without hope	gloomy,hopeless
oewn-00319189-a	a	dul:Quality	A5_adj_head_default	adj.all head default	hypercatalectic	hypercatalectic	(verse) having an extra syllable or syllables at the end of a metrically complete verse or in a metrical foot	
oewn-00319394-r	r	dul:Region	R1_adv_manner	manner adverb	displeasingly	displeasingly	in a displeasing manner	displeasing
oewn-00319396-a	a	dul:Quality	A5_adj_head_default	adj.all head default	cauline	cauline	especially of leaves; growing on a stem especially on the upper part of a stem	
oewn-00319536-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	disproportionately	disproportionately	to a disproportionate degree	disproportionate
oewn-00319565-a	a	dul:Quality	A5_adj_head_default	adj.all head default	radical	radical|basal	especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem	
oewn-00319696-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	proportionately	proportionately|proportionally	to a proportionate degree	proportional,proportionate
oewn-00319840-a	a	dul:Quality	A5_adj_head_default	adj.all head default	censored	censored	suppressed or subject to censorship	
oewn-00319894-r	r	dul:Region	R1_adv_manner	manner adverb	disproportionately	disproportionately	in a manner which is out of proportion	disproportionate
oewn-00319988-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00319840-a	expurgated	expurgated	having material deleted	
oewn-00320034-r	r	dul:Region	R1_adv_manner	manner adverb	proportionately	proportionately	in a way that is in correspondence among the constituents of another entity	harmonious
oewn-00320160-a	a	dul:Quality	A5_adj_head_default	adj.all head default	uncensored	uncensored	not subject to censorship	
oewn-00320223-r	r	dul:Region	R1_adv_manner	manner adverb	disputatiously	disputatiously|argumentatively	in a disputatious manner	argumentative,contentious
oewn-00320287-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320160-a	unexpurgated	unexpurgated	not having material deleted	
oewn-00320344-r	r	dul:Region	R1_adv_manner	manner adverb	disquietingly	disquietingly	in a disquieting manner	disquieting
oewn-00320432-a	a	dul:Quality	A5_adj_head_default	adj.all head default	caudate	caudate|caudated	having a tail or taillike appendage	
oewn-00320472-r	r	dul:Region	R1_adv_manner	manner adverb	disreputably	disreputably	in a disreputable manner	disreputable
oewn-00320573-r	r	dul:Region	R1_adv_manner	manner adverb	reputably	reputably	in a reputable manner	reputable
oewn-00320668-r	r	dul:Region	R1_adv_manner	manner adverb	respectfully	respectfully	in a respectful manner	respectful
oewn-00320749-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	bobtail	bobtail|bobtailed	having a short or shortened tail	
oewn-00320863-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	caudal	caudal|taillike	resembling a tail	
oewn-00320875-r	r	dul:Region	R1_adv_manner	manner adverb	disrespectfully	disrespectfully	in a disrespectful manner	disrespectful
oewn-00320962-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	tailed	tailed	having a tail of a specified kind; often used in combination	
oewn-00321028-r	r	dul:Region	R7_adv_default	adverb default (quality region)	distantly	distantly	from or at a distance	distant
oewn-00321075-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	scaly-tailed	scaly-tailed	having a scaly tail	
oewn-00321153-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	scissor-tailed	scissor-tailed	(of birds) having a deeply forked tail	
oewn-00321158-r	r	dul:Region	R1_adv_manner	manner adverb	distastefully	distastefully	in an offensively distasteful manner	disgusting
oewn-00321276-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	short-tailed	short-tailed	having a short tail	
oewn-00321324-r	r	dul:Region	R7_adv_default	adverb default (quality region)	distressfully	distressfully	with distress	distressing
oewn-00321354-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	square-tailed	square-tailed	having a square tail	
oewn-00321434-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	stiff-tailed	stiff-tailed	having a stiff tail	
oewn-00321467-r	r	dul:Region	R1_adv_manner	manner adverb	distributively	distributively	in a distributive manner	distributed
oewn-00321512-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	swallow-tailed	swallow-tailed	(especially of butterflies and birds) having a forked tail like that of a swallow	
oewn-00321630-r	r	dul:Region	R7_adv_default	adverb default (quality region)	distributively	distributively	as individuals or as separate units (not collectively)	distributive
oewn-00321654-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00320432-a	tail-shaped	tail-shaped	shaped like the tail of an animal	
oewn-00321745-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acaudate	acaudate|acaudal	lacking a tail or taillike appendage	
oewn-00321801-r	r	dul:Region	R7_adv_default	adverb default (quality region)	distrustfully	distrustfully|mistrustfully	with distrust	distrustful,leery
oewn-00321883-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321745-a	anurous	anurous|tailless	not having a tail	
oewn-00321961-r	r	dul:Region	R7_adv_default	adverb default (quality region)	trustfully	trustfully|trustingly|confidingly	with trust; in a trusting manner	confiding,trustful,trustful
oewn-00321992-a	a	dul:Quality	A5_adj_head_default	adj.all head default	caulescent	caulescent|cauline|stemmed	(of plants) producing a well-developed stem above ground	
oewn-00322170-r	r	dul:Region	R1_adv_manner	manner adverb	disturbingly	disturbingly	in a disturbing manner	distressing
oewn-00322327-r	r	dul:Region	R7_adv_default	adverb default (quality region)	doctrinally	doctrinally	as a matter of doctrine	doctrinal
oewn-00322342-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	cylindrical-stemmed	cylindrical-stemmed	having a cylindrical stem	
oewn-00322408-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dogmatically	dogmatically	in a narrow-minded dogmatic manner	dogmatic
oewn-00322433-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	leafy-stemmed	leafy-stemmed	having a leafy stem	
oewn-00322512-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	multi-stemmed	multi-stemmed	having many stems	
oewn-00322558-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dolefully	dolefully|sorrowfully	with sadness; in a sorrowful manner	doleful,sorrowful
oewn-00322589-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	short-stemmed	short-stemmed	having a short stem	
oewn-00322668-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	spiny-stemmed	spiny-stemmed	having a spiny stem	
oewn-00322747-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	stout-stemmed	stout-stemmed	having a stout stem	
oewn-00322759-r	r	dul:Region	R7_adv_default	adverb default (quality region)	domestically	domestically	with respect to home or family	domestic
oewn-00322826-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	thick-stemmed	thick-stemmed	having a thick stem	
oewn-00322905-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	weak-stemmed	weak-stemmed	having a weak stem	
oewn-00322917-r	r	dul:Region	R7_adv_default	adverb default (quality region)	domestically	domestically	with respect to the internal affairs of a government	domestic
oewn-00322982-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	wiry-stemmed	wiry-stemmed	having a wiry stem	
oewn-00323059-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	woolly-stemmed	woolly-stemmed	having a woolly stem	
oewn-00323100-r	r	dul:Region	R1_adv_manner	manner adverb	domineeringly	domineeringly	in a domineering manner	domineering
oewn-00323140-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00321992-a	woody-stemmed	woody-stemmed	having a woody stem	
oewn-00323217-r	r	dul:Region	R7_adv_default	adverb default (quality region)	double	double	two together	
oewn-00323219-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acaulescent	acaulescent|stemless	(of plants) having no apparent stem above ground	
oewn-00323299-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	double	double	downward and forward	
oewn-00323355-a	a	dul:Quality	A5_adj_head_default	adj.all head default	causative	causative	producing an effect	
oewn-00323386-r	r	dul:Region	R7_adv_default	adverb default (quality region)	double time	double time|double quick	at a faster speed	
oewn-00323505-r	r	dul:Region	R1_adv_manner	manner adverb	doubtfully	doubtfully|dubiously	in a doubtful manner	doubtful,doubtful
oewn-00323648-r	r	dul:Region	R1_adv_manner	manner adverb	dowdily	dowdily|frumpily|frumpishly	in a dowdy unfashionable manner	dowdy,dowdy,dowdy
oewn-00323742-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	abortifacient	abortifacient	causing abortion	
oewn-00323816-r	r	dul:Region	R7_adv_default	adverb default (quality region)	downhill	downhill	toward the bottom of a hill	
oewn-00323836-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	activating	activating|actuating	causing motion or action or change	
oewn-00323926-r	r	dul:Region	R7_adv_default	adverb default (quality region)	downhill	downhill	toward a lower or inferior state	
oewn-00323945-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	anorectic	anorectic|anorexigenic	causing loss of appetite	
oewn-00324059-r	r	dul:Region	R1_adv_manner	manner adverb	drably	drably	in a drab manner	drab
oewn-00324097-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	causal	causal	involving or constituting a cause; causing	
oewn-00324150-r	r	dul:Region	R1_adv_manner	manner adverb	dreamily	dreamily|moonily|dreamfully	in a dreamy manner	dreamy,dreamy
oewn-00324324-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	conducive	conducive|contributing|contributive|contributory|tributary	tending to bring about; being partly responsible for	
oewn-00324332-r	r	dul:Region	R1_adv_manner	manner adverb	droopingly	droopingly	in a drooping manner	drooping
oewn-00324442-r	r	dul:Region	R1_adv_manner	manner adverb	drowsily	drowsily|somnolently	in a drowsy manner	drowsy,slumberous
oewn-00324586-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dumbly	dumbly	mutely	speechless
oewn-00324694-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	errhine	errhine	causing nasal discharge	
oewn-00324708-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dumbly	dumbly|densely|obtusely	stupidly or insensitively	dense,dense,dense
oewn-00324771-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	fast	fast	(of a photographic lens or emulsion) causing a shortening of exposure time	
oewn-00324911-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	inductive	inductive|inducive	inducing or influencing; leading on	
oewn-00324912-r	r	dul:Region	R7_adv_default	adverb default (quality region)	dutifully	dutifully	out of a sense of duty; in a dutiful manner	dutiful
oewn-00325059-r	r	dul:Region	R1_adv_manner	manner adverb	dynamically	dynamically	in a forceful dynamic manner	dynamic
oewn-00325093-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	motivative	motivative|motive|motivating	impelling to action	
oewn-00325179-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	east	east	to, toward, or in the east	
oewn-00325301-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	west	west	to, toward, or in the west	
oewn-00325379-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	motive	motive|motor	causing or able to cause motion	
oewn-00325415-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	westward	westward|westwards	toward the west	
oewn-00325528-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	eastward	eastward|eastwards	toward the east	
oewn-00325578-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	precipitating	precipitating	bringing on suddenly or abruptly	
oewn-00325628-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	easterly	easterly	from the east	east
oewn-00325751-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	westerly	westerly	from the west	west
oewn-00325776-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	responsible	responsible|responsible for	being the agent or cause	
oewn-00325863-r	r	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	westerly	westerly	in a westward direction	west
oewn-00325967-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00323355-a	sternutatory	sternutatory|sternutative	causing sneezing	
